name, version, created, downloads
active_median, 0.3.3, 2021-08-17, 441261
active_median, 0.3.2, 2021-08-17, 1535
active_median, 0.3.1, 2021-02-22, 231637
active_median, 0.3.0, 2021-02-08, 3885
active_median, 0.2.8, 2021-01-17, 24969
active_median, 0.2.7, 2021-01-16, 1156
active_median, 0.2.6, 2020-12-19, 34377
active_median, 0.2.5, 2020-09-07, 45856
active_median, 0.2.4, 2020-03-13, 104676
active_median, 0.2.3, 2019-09-04, 13088
active_median, 0.2.2, 2018-10-29, 42447
active_median, 0.2.1, 2018-10-15, 1921
active_median, 0.2.0, 2018-10-15, 3490
active_median, 0.1.4, 2016-12-03, 144465
active_median, 0.1.3, 2016-03-22, 93653
active_median, 0.1.2, 2014-12-27, 230093
active_median, 0.1.1, 2014-08-13, 7160
active_median, 0.1.0, 2014-03-13, 140962
active_median, 0.0.1, 2013-08-03, 6002
