name, version, created, downloads
authtrail, 0.4.3, 2022-06-12, 68535
authtrail, 0.4.2, 2021-12-14, 109346
authtrail, 0.4.1, 2021-08-14, 63721
authtrail, 0.4.0, 2021-08-13, 1219
authtrail, 0.3.1, 2021-03-04, 70250
authtrail, 0.3.0, 2021-03-02, 1849
authtrail, 0.2.2, 2020-11-22, 112212
authtrail, 0.2.1, 2020-08-17, 77575
authtrail, 0.2.0, 2019-06-24, 188837
authtrail, 0.1.3, 2018-09-28, 213530
authtrail, 0.1.2, 2018-07-31, 20843
authtrail, 0.1.1, 2018-07-13, 4687
authtrail, 0.1.0, 2017-11-08, 7607
