name, version, created, downloads
beerdb, 1.2.2, 2017-08-31, 2273
beerdb, 1.2.1, 2017-08-28, 1707
beerdb, 1.2.0, 2017-08-27, 1692
beerdb, 1.1.1, 2017-08-19, 1712
beerdb, 1.1.0, 2017-08-18, 1704
beerdb, 1.0.1, 2017-08-18, 1681
beerdb, 1.0.0, 2017-08-17, 1696
beerdb, 0.10.1, 2014-12-07, 3049
beerdb, 0.10.0, 2014-12-07, 2606
beerdb, 0.9.13, 2014-11-09, 2630
beerdb, 0.9.12, 2014-11-06, 2668
beerdb, 0.9.11, 2014-11-06, 2651
beerdb, 0.9.10, 2014-11-05, 2635
beerdb, 0.9.9, 2014-11-02, 2603
beerdb, 0.9.8, 2014-11-02, 2628
beerdb, 0.9.7, 2014-11-02, 2650
beerdb, 0.9.6, 2014-11-01, 2665
beerdb, 0.9.5, 2014-10-29, 2595
beerdb, 0.9.4, 2014-10-12, 2666
beerdb, 0.9.3, 2014-10-12, 2643
beerdb, 0.9.2, 2014-01-23, 3065
beerdb, 0.9.1, 2014-01-21, 2983
beerdb, 0.9.0, 2014-01-18, 2956
beerdb, 0.8.2, 2013-07-17, 3280
beerdb, 0.8.1, 2013-07-15, 3170
beerdb, 0.8.0, 2013-07-14, 3164
beerdb, 0.7.2, 2013-05-20, 3289
beerdb, 0.7.1, 2013-05-20, 3250
beerdb, 0.7.0, 2013-05-20, 3231
beerdb, 0.6.15, 2013-05-14, 3261
beerdb, 0.6.14, 2013-05-14, 3239
beerdb, 0.6.13, 2013-05-13, 3268
beerdb, 0.6.12, 2013-05-13, 3226
beerdb, 0.6.11, 2013-05-13, 3233
beerdb, 0.6.10, 2013-05-12, 3223
beerdb, 0.6.9, 2013-05-12, 3221
beerdb, 0.6.8, 2013-05-09, 3237
beerdb, 0.6.7, 2013-05-09, 3281
beerdb, 0.6.6, 2013-05-08, 3277
beerdb, 0.6.5, 2013-05-07, 3258
beerdb, 0.6.4, 2013-05-05, 3222
beerdb, 0.6.3, 2013-05-05, 3230
beerdb, 0.6.2, 2013-05-05, 3281
beerdb, 0.6.1, 2013-05-05, 3252
beerdb, 0.6.0, 2013-05-05, 3214
beerdb, 0.5.2, 2013-04-23, 3264
beerdb, 0.5.1, 2013-04-23, 3213
beerdb, 0.5.0, 2013-04-23, 3283
beerdb, 0.4.0, 2013-04-12, 3341
beerdb, 0.3.0, 2013-04-07, 3297
beerdb, 0.2.0, 2013-03-30, 3245
beerdb, 0.1.0, 2013-03-29, 3315
beerdb, 0.0.1, 2012-10-17, 3552
