name, version, created, downloads
blazer, 2.6.5, 2022-08-31, 85068
blazer, 2.6.4, 2022-05-25, 91783
blazer, 2.6.3, 2022-05-12, 16163
blazer, 2.6.2, 2022-05-06, 6653
blazer, 2.6.1, 2022-04-21, 70426
blazer, 2.6.0, 2022-04-20, 31465
blazer, 2.5.0, 2022-01-05, 62412
blazer, 2.4.8, 2021-12-07, 41147
blazer, 2.4.7, 2021-09-25, 79143
blazer, 2.4.6, 2021-09-21, 6063
blazer, 2.4.5, 2021-09-16, 6876
blazer, 2.4.4, 2021-09-16, 1081
blazer, 2.4.3, 2021-07-28, 34142
blazer, 2.4.2, 2021-02-09, 170152
blazer, 2.4.1, 2021-01-25, 8885
blazer, 2.4.0, 2020-12-15, 29539
blazer, 2.3.1, 2020-11-24, 37675
blazer, 2.3.0, 2020-11-16, 11595
blazer, 2.2.8, 2020-11-01, 27107
blazer, 2.2.7, 2020-09-08, 50070
blazer, 2.2.6, 2020-07-22, 80259
blazer, 2.2.5, 2020-06-03, 23005
blazer, 2.2.4, 2020-05-30, 3079
blazer, 2.2.3, 2020-05-30, 1362
blazer, 2.2.2, 2020-04-14, 36811
blazer, 2.2.1, 2019-10-09, 164979
blazer, 2.2.0, 2019-07-12, 47983
blazer, 2.1.0, 2019-06-04, 100553
blazer, 2.0.2, 2019-05-27, 19294
blazer, 2.0.1, 2019-01-08, 57919
blazer, 2.0.0, 2019-01-03, 12111
blazer, 1.9.0, 2018-06-17, 117897
blazer, 1.8.2, 2018-02-22, 146563
blazer, 1.8.0, 2017-05-01, 78790
blazer, 1.7.10, 2017-04-04, 17431
blazer, 1.7.9, 2017-03-21, 3149
blazer, 1.7.8, 2017-02-07, 23909
blazer, 1.7.7, 2016-12-17, 9976
blazer, 1.7.6, 2016-12-14, 1956
blazer, 1.7.5, 2016-11-22, 3126
blazer, 1.7.4, 2016-11-06, 2360
blazer, 1.7.3, 2016-11-01, 2485
blazer, 1.7.2, 2016-10-31, 1894
blazer, 1.7.1, 2016-10-30, 2101
blazer, 1.7.0, 2016-09-08, 8627
blazer, 1.6.2, 2016-08-11, 6081
blazer, 1.6.1, 2016-07-30, 2519
blazer, 1.6.0, 2016-07-29, 2148
blazer, 1.5.1, 2016-07-25, 2461
blazer, 1.5.0, 2016-06-29, 4357
blazer, 1.4.0, 2016-06-10, 3784
blazer, 1.3.5, 2016-05-12, 3887
blazer, 1.3.4, 2016-05-11, 2513
blazer, 1.3.3, 2016-05-08, 2214
blazer, 1.3.2, 2016-05-07, 2042
blazer, 1.3.1, 2016-05-06, 2024
blazer, 1.3.0, 2016-05-06, 2027
blazer, 1.2.1, 2016-04-26, 2669
blazer, 1.2.0, 2016-03-23, 2490
blazer, 1.1.1, 2016-03-07, 3798
blazer, 1.1.0, 2015-12-28, 5572
blazer, 1.0.4, 2015-11-05, 6882
blazer, 1.0.3, 2015-10-18, 2524
blazer, 1.0.2, 2015-10-12, 2450
blazer, 1.0.1, 2015-10-08, 2317
blazer, 1.0.0, 2015-10-04, 2267
blazer, 0.0.8, 2015-09-05, 3187
blazer, 0.0.7, 2015-07-24, 2571
blazer, 0.0.6, 2015-06-18, 2507
blazer, 0.0.5, 2015-01-31, 4246
blazer, 0.0.4, 2014-11-20, 3018
blazer, 0.0.3, 2014-10-08, 2659
blazer, 0.0.2, 2014-10-01, 2705
blazer, 0.0.1, 2014-10-01, 2716
