name, version, created, downloads
blind_index, 2.3.1, 2022-09-06, 77598
blind_index, 2.3.0, 2022-01-16, 258324
blind_index, 2.2.0, 2020-09-08, 892290
blind_index, 2.1.1, 2020-08-14, 23712
blind_index, 2.1.0, 2020-07-06, 20458
blind_index, 2.0.2, 2020-06-01, 17039
blind_index, 2.0.1, 2020-02-14, 263832
blind_index, 2.0.0, 2020-02-10, 2054
blind_index, 1.0.2, 2019-12-27, 18494
blind_index, 1.0.1, 2019-08-16, 47536
blind_index, 1.0.0, 2019-07-08, 6611
blind_index, 0.3.5, 2019-05-29, 21139
blind_index, 0.3.4, 2018-12-16, 16791
blind_index, 0.3.3, 2018-11-12, 46973
blind_index, 0.3.2, 2018-06-18, 11776
blind_index, 0.3.0, 2018-06-03, 2172
blind_index, 0.2.1, 2018-05-26, 2171
blind_index, 0.2.0, 2018-05-11, 2111
blind_index, 0.1.1, 2018-04-10, 2540
blind_index, 0.1.0, 2017-12-18, 2328
