name, version, created, downloads
characteristics, 1.5.0, 2022-09-14, 427
characteristics, 1.4.1, 2022-01-28, 1003
characteristics, 1.4.0, 2021-09-15, 1397
characteristics, 1.3.0, 2020-12-30, 1325
characteristics, 1.2.0, 2019-03-05, 1866
characteristics, 1.1.0, 2018-06-05, 1725
characteristics, 1.0.0, 2018-03-31, 1637
characteristics, 0.8.0, 2017-06-20, 2035
characteristics, 0.7.0, 2017-03-31, 1921
characteristics, 0.6.0, 2017-03-30, 1711
characteristics, 0.5.2, 2017-03-25, 1736
characteristics, 0.5.1, 2017-03-22, 1720
characteristics, 0.4.0, 2017-03-22, 1712
characteristics, 0.3.1, 2017-03-21, 1674
characteristics, 0.3.0, 2017-03-14, 1770
characteristics, 0.2.0, 2017-03-13, 1722
characteristics, 0.1.0, 2017-03-12, 1705
