name, version, created, downloads
chartkick, 5.0.1, 2023-01-19, 595
chartkick, 5.0.0, 2023-01-18, 450
chartkick, 4.2.1, 2022-08-02, 395532
chartkick, 4.2.0, 2022-06-12, 166196
chartkick, 4.1.3, 2022-01-15, 760835
chartkick, 4.1.2, 2021-11-06, 436468
chartkick, 4.1.1, 2021-11-06, 1250
chartkick, 4.1.0, 2021-10-23, 76940
chartkick, 4.0.5, 2021-07-07, 470270
chartkick, 4.0.4, 2021-05-01, 375089
chartkick, 4.0.3, 2021-04-11, 160403
chartkick, 4.0.2, 2021-04-07, 28197
chartkick, 4.0.1, 2021-04-06, 1561
chartkick, 4.0.0, 2021-04-05, 57208
chartkick, 3.4.2, 2020-10-21, 2499226
chartkick, 3.4.1, 2020-10-06, 121583
chartkick, 3.4.0, 2020-08-04, 1613665
chartkick, 3.3.2, 2020-07-24, 232357
chartkick, 3.3.1, 2019-12-27, 1172474
chartkick, 3.3.0, 2019-11-10, 1099649
chartkick, 3.2.2, 2019-10-28, 57644
chartkick, 3.2.1, 2019-07-15, 468784
chartkick, 3.2.0, 2019-06-04, 681339
chartkick, 3.1.0, 2019-05-26, 25012
chartkick, 3.0.2, 2019-01-04, 565152
chartkick, 3.0.1, 2018-08-14, 442776
chartkick, 3.0.0, 2018-08-09, 11092
chartkick, 2.3.5, 2018-06-15, 694648
chartkick, 2.3.4, 2018-04-10, 350978
chartkick, 2.3.3, 2018-03-25, 72140
chartkick, 2.3.2, 2018-02-26, 153796
chartkick, 2.3.1, 2018-02-23, 8044
chartkick, 2.3.0, 2018-02-22, 25019
chartkick, 2.2.5, 2017-10-28, 625883
chartkick, 2.2.4, 2017-05-15, 861773
chartkick, 2.2.3, 2017-02-23, 422865
chartkick, 2.2.2, 2017-01-07, 264538
chartkick, 2.2.1, 2016-12-05, 91117
chartkick, 2.2.0, 2016-12-04, 2960
chartkick, 2.1.3, 2016-11-29, 13781
chartkick, 2.1.2, 2016-11-28, 4021
chartkick, 2.1.1, 2016-09-12, 280034
chartkick, 2.1.0, 2016-09-10, 2366
chartkick, 2.0.2, 2016-08-11, 135699
chartkick, 2.0.1, 2016-07-30, 31219
chartkick, 2.0.0, 2016-05-31, 164649
chartkick, 1.5.2, 2016-05-06, 137641
chartkick, 1.5.1, 2016-05-04, 22553
chartkick, 1.5.0, 2016-05-02, 5833
chartkick, 1.4.2, 2016-02-29, 269210
chartkick, 1.4.1, 2015-09-08, 516127
chartkick, 1.4.0, 2015-09-01, 6571
chartkick, 1.3.2, 2014-07-04, 1011742
chartkick, 1.3.1, 2014-06-30, 5482
chartkick, 1.3.0, 2014-06-29, 3368
chartkick, 1.2.5, 2014-06-13, 89027
chartkick, 1.2.4, 2014-03-24, 117463
chartkick, 1.2.3, 2014-03-24, 3022
chartkick, 1.2.2, 2014-02-23, 14264
chartkick, 1.2.1, 2013-12-09, 73036
chartkick, 1.2.0, 2013-07-28, 30981
chartkick, 1.1.3, 2013-06-26, 11175
chartkick, 1.1.2, 2013-06-12, 5917
chartkick, 1.1.1, 2013-06-11, 3363
chartkick, 1.1.0, 2013-06-04, 3702
chartkick, 1.0.1, 2013-05-23, 4838
chartkick, 1.0.0, 2013-05-16, 4529
chartkick, 0.0.5, 2013-05-15, 5241
chartkick, 0.0.4, 2013-05-14, 3932
chartkick, 0.0.3, 2013-05-12, 5184
chartkick, 0.0.2, 2013-05-10, 3204
chartkick, 0.0.1, 2013-05-07, 3228
