name, version, created, downloads
clipboard, 1.3.6, 2021-07-25, 3722637
clipboard, 1.3.5, 2020-09-05, 1856939
clipboard, 1.3.4, 2020-02-23, 1113666
clipboard, 1.3.3, 2019-01-10, 772381
clipboard, 1.3.2, 2018-12-14, 25368
clipboard, 1.3.1, 2018-12-11, 7428
clipboard, 1.3.0, 2018-12-11, 1495
clipboard, 1.2.1, 2018-12-10, 2461
clipboard, 1.2.0, 2018-12-09, 1449
clipboard, 1.1.2, 2018-05-27, 321954
clipboard, 1.1.1, 2016-07-24, 1453475
clipboard, 1.1.0, 2016-03-14, 186882
clipboard, 1.0.6, 2015-02-18, 793741
clipboard, 1.0.5, 2013-04-30, 96040
clipboard, 1.0.4, 2013-04-23, 3977
clipboard, 1.0.3, 2013-04-22, 3119
clipboard, 1.0.2, 2013-04-21, 3415
clipboard, 1.0.1, 2012-01-24, 35480
clipboard, 1.0.0, 2012-01-09, 5466
clipboard, 0.9.9, 2011-06-23, 14757
clipboard, 0.9.8, 2011-04-28, 6918
clipboard, 0.9.7, 2011-02-08, 5586
clipboard, 0.9.6, 2011-02-08, 3720
clipboard, 0.9.5, 2011-01-28, 4222
clipboard, 0.9.4, 2011-01-16, 4227
clipboard, 0.9.3, 2010-12-14, 4487
clipboard, 0.9.2, 2010-11-18, 4430
clipboard, 0.9.1, 2010-10-14, 4741
clipboard, 0.9.0, 2010-10-13, 4044
clipboard, 0.8.4, 2010-10-03, 4678
clipboard, 0.8.3, 2010-10-03, 3951
clipboard, 0.8.2, 2010-10-03, 3942
clipboard, 0.8.1, 2010-10-03, 4024
clipboard, 0.8.0, 2010-10-03, 4037
clipboard, 0.7.0, 2010-10-01, 4003
clipboard, 0.6.0, 2010-10-01, 4039
