name, version, created, downloads
csvreader, 1.2.5, 2021-10-05, 22230
csvreader, 1.2.4, 2019-07-27, 37114
csvreader, 1.2.3, 2018-11-24, 12660
csvreader, 1.2.2, 2018-11-19, 1554
csvreader, 1.2.1, 2018-11-06, 1576
csvreader, 1.2.0, 2018-11-05, 1517
csvreader, 1.1.5, 2018-11-04, 1767
csvreader, 1.1.4, 2018-10-27, 1755
csvreader, 1.1.3, 2018-10-24, 1441
csvreader, 1.1.2, 2018-10-24, 1443
csvreader, 1.1.1, 2018-10-23, 1449
csvreader, 1.1.0, 2018-10-23, 1392
csvreader, 1.0.3, 2018-10-22, 1453
csvreader, 1.0.2, 2018-10-21, 1431
csvreader, 1.0.1, 2018-10-11, 1498
csvreader, 1.0.0, 2018-10-09, 1454
csvreader, 0.7.0, 2018-10-05, 1449
csvreader, 0.6.0, 2018-10-01, 1460
csvreader, 0.5.0, 2018-09-25, 1491
csvreader, 0.4.0, 2018-08-21, 1568
csvreader, 0.3.0, 2018-08-20, 1475
csvreader, 0.2.0, 2018-08-19, 1475
csvreader, 0.1.0, 2018-08-15, 1491
csvreader, 0.0.1, 2018-08-15, 1441
