name, version, created, downloads
daru, 0.3, 2020-05-30, 295460
daru, 0.2.2, 2019-08-11, 118693
daru, 0.2.1, 2018-07-02, 57284
daru, 0.2.0, 2017-11-01, 52530
daru, 0.1.6, 2017-08-09, 291100
daru, 0.1.5, 2017-01-31, 30383
daru, 0.1.4.1, 2016-08-19, 23603
daru, 0.1.4, 2016-08-19, 1909
daru, 0.1.3.1, 2016-05-12, 7857
daru, 0.1.3, 2016-05-10, 2012
daru, 0.1.2, 2016-02-17, 7319
daru, 0.1.1, 2015-08-19, 30682
daru, 0.1.0, 2015-06-13, 12677
daru, 0.0.5, 2015-02-28, 2726
daru, 0.0.4, 2014-12-01, 2525
daru, 0.0.3.1, 2014-11-05, 2526
daru, 0.0.3, 2014-11-04, 2512
daru, 0.0.2.3, 2014-10-14, 2576
daru, 0.0.2.2, 2014-10-11, 2521
daru, 0.0.2.1, 2014-10-09, 2513
daru, 0.0.2, 2014-10-09, 2521
daru, 0.0.1, 2014-10-06, 2509
