name, version, created, downloads
disco, 0.3.2, 2022-09-27, 4009
disco, 0.3.1, 2022-07-10, 1968
disco, 0.3.0, 2022-03-22, 1177
disco, 0.2.9, 2022-03-22, 4019
disco, 0.2.8, 2022-03-13, 1043
disco, 0.2.7, 2021-08-06, 24891
disco, 0.2.6, 2021-02-24, 12796
disco, 0.2.5, 2021-02-20, 1496
disco, 0.2.4, 2021-02-16, 1712
disco, 0.2.3, 2020-11-28, 2900
disco, 0.2.1, 2020-10-28, 1370
disco, 0.2.0, 2020-07-31, 1962
disco, 0.1.3, 2020-06-29, 1303
disco, 0.1.2, 2020-03-26, 1788
disco, 0.1.1, 2019-11-14, 3617
disco, 0.1.0, 2019-11-14, 1475
