name, version, created, downloads
distribute_reads, 0.4.0, 2022-12-28, 2232
distribute_reads, 0.3.5, 2022-01-31, 419083
distribute_reads, 0.3.4, 2021-08-22, 551922
distribute_reads, 0.3.3, 2020-05-07, 2784497
distribute_reads, 0.3.2, 2020-01-02, 239673
distribute_reads, 0.3.1, 2019-10-28, 92547
distribute_reads, 0.3.0, 2019-06-14, 246008
distribute_reads, 0.2.4, 2018-11-14, 479058
distribute_reads, 0.2.3, 2018-05-24, 195425
distribute_reads, 0.2.2, 2018-03-29, 279484
distribute_reads, 0.2.1, 2017-12-15, 1653597
distribute_reads, 0.2.0, 2017-10-03, 20689
distribute_reads, 0.1.2, 2017-09-21, 1608
distribute_reads, 0.1.1, 2017-05-15, 3979
distribute_reads, 0.1.0, 2017-03-27, 1726
