name, version, created, downloads
every_day_irb, 2.2.0, 2022-12-27, 790
every_day_irb, 2.1.1, 2020-12-25, 31560
every_day_irb, 2.1.0, 2019-04-02, 90408
every_day_irb, 2.0.0, 2015-03-29, 86692
every_day_irb, 1.7.1, 2015-01-24, 8928
every_day_irb, 1.7.0, 2014-10-27, 3990
every_day_irb, 1.6.1, 2014-02-16, 16005
every_day_irb, 1.6.0, 2014-02-16, 2512
every_day_irb, 1.5.1, 2013-10-08, 6526
every_day_irb, 1.5.0, 2013-05-27, 7062
every_day_irb, 1.4.0, 2012-12-02, 7613
every_day_irb, 1.3.0, 2012-10-09, 4482
every_day_irb, 1.2.3, 2012-10-09, 3004
every_day_irb, 1.2.2, 2012-03-18, 12653
every_day_irb, 1.2.1, 2012-03-12, 3408
every_day_irb, 1.2.0, 2012-01-10, 4775
every_day_irb, 1.1.1, 2011-11-01, 4746
every_day_irb, 1.1.0, 2011-11-01, 3305
every_day_irb, 1.1.0.pre.3, 2011-10-26, 2161
every_day_irb, 1.1.0.pre.2, 2011-10-24, 2168
every_day_irb, 1.1.0.pre, 2011-10-15, 2165
every_day_irb, 1.0.6, 2011-08-20, 6198
every_day_irb, 1.0.5, 2011-07-08, 5342
every_day_irb, 1.0.4, 2011-05-28, 5287
every_day_irb, 1.0.3, 2011-05-26, 3611
every_day_irb, 1.0.2, 2011-05-26, 3392
every_day_irb, 1.0.1, 2011-05-19, 3842
every_day_irb, 1.0.0, 2011-05-18, 3485
