name, version, created, downloads
factbook, 2.0.1, 2020-11-27, 1371
factbook, 2.0.0, 2020-11-24, 1109
factbook, 1.2.2, 2016-11-08, 2189
factbook, 1.2.1, 2016-11-06, 1655
factbook, 1.2.0, 2016-11-05, 1655
factbook, 1.1.1, 2015-11-08, 2187
factbook, 1.1.0, 2015-11-01, 1953
factbook, 1.0.1, 2015-10-31, 1922
factbook, 1.0.0, 2015-10-26, 1974
factbook, 0.1.3, 2014-08-24, 2518
factbook, 0.1.2, 2014-07-13, 2378
factbook, 0.1.1, 2014-07-12, 2368
factbook, 0.1.0, 2014-07-12, 2378
factbook, 0.0.1, 2014-07-07, 2381
