name, version, created, downloads
fancy_irb, 1.4.3, 2021-03-20, 42268
fancy_irb, 1.4.2, 2021-01-28, 3971
fancy_irb, 1.4.1, 2021-01-02, 2914
fancy_irb, 1.4.0, 2020-12-30, 1247
fancy_irb, 1.3.0, 2020-12-30, 1070
fancy_irb, 1.2.1, 2019-12-02, 62238
fancy_irb, 1.2.0, 2019-08-29, 6786
fancy_irb, 1.1.0, 2017-03-18, 101963
fancy_irb, 1.0.2, 2016-03-03, 19260
fancy_irb, 1.0.1, 2016-02-21, 2402
fancy_irb, 1.0.0, 2015-03-29, 15517
fancy_irb, 0.8.2, 2015-03-22, 2297
fancy_irb, 0.8.1, 2015-03-20, 2178
fancy_irb, 0.8.0, 2015-03-18, 2155
fancy_irb, 0.7.3, 2012-11-30, 38549
fancy_irb, 0.7.2, 2011-11-01, 19740
fancy_irb, 0.7.1, 2011-09-19, 5741
fancy_irb, 0.7.0, 2011-07-07, 7385
fancy_irb, 0.6.5, 2011-02-23, 7876
fancy_irb, 0.6.4, 2011-01-27, 4178
fancy_irb, 0.6.3, 2011-01-03, 3994
fancy_irb, 0.6.2, 2010-11-14, 4600
fancy_irb, 0.6.1, 2010-11-12, 3692
fancy_irb, 0.6.0, 2010-11-10, 3778
