name, version, created, downloads
groupdate, 6.1.0, 2022-04-05, 972618
groupdate, 6.0.1, 2022-01-16, 431447
groupdate, 6.0.0, 2022-01-16, 1437
groupdate, 5.2.4, 2021-12-16, 336803
groupdate, 5.2.3, 2021-12-07, 39264
groupdate, 5.2.2, 2021-02-08, 1602019
groupdate, 5.2.1, 2020-09-10, 944418
groupdate, 5.2.0, 2020-09-07, 10722
groupdate, 5.1.0, 2020-07-31, 198782
groupdate, 5.0.0, 2020-02-19, 738993
groupdate, 4.3.0, 2019-12-27, 369257
groupdate, 4.2.0, 2019-10-28, 535586
groupdate, 4.1.2, 2019-05-27, 1332248
groupdate, 4.1.1, 2018-12-11, 1344603
groupdate, 4.1.0, 2018-11-05, 162732
groupdate, 4.0.2, 2018-10-15, 124946
groupdate, 4.0.1, 2018-05-03, 746688
groupdate, 4.0.0, 2018-02-22, 291514
groupdate, 3.2.1, 2018-02-22, 341186
groupdate, 3.2.0, 2017-01-31, 1579359
groupdate, 3.1.1, 2016-10-26, 256214
groupdate, 3.1.0, 2016-10-22, 17377
groupdate, 3.0.2, 2016-08-10, 312327
groupdate, 3.0.1, 2016-07-13, 163471
groupdate, 3.0.0, 2016-05-31, 211056
groupdate, 2.5.3, 2016-04-28, 323340
groupdate, 2.5.2, 2016-02-17, 480364
groupdate, 2.5.1, 2016-02-04, 19078
groupdate, 2.5.0, 2015-09-29, 458115
groupdate, 2.4.0, 2014-12-28, 648348
groupdate, 2.3.0, 2014-08-31, 209254
groupdate, 2.2.1, 2014-06-24, 364417
groupdate, 2.2.0, 2014-06-22, 2595
groupdate, 2.1.1, 2014-05-17, 62815
groupdate, 2.1.0, 2014-03-17, 179714
groupdate, 2.0.4, 2014-03-13, 3176
groupdate, 2.0.3, 2014-03-12, 2749
groupdate, 2.0.2, 2014-03-12, 2482
groupdate, 2.0.1, 2014-03-07, 9797
groupdate, 2.0.0, 2014-03-07, 2936
groupdate, 1.0.5, 2014-03-07, 6501
groupdate, 1.0.4, 2013-07-20, 95795
groupdate, 1.0.3, 2013-07-06, 4241
groupdate, 1.0.2, 2013-06-11, 4156
groupdate, 1.0.1, 2013-06-04, 2980
groupdate, 1.0.0, 2013-05-16, 6102
groupdate, 0.1.6, 2013-05-08, 7213
groupdate, 0.1.5, 2013-05-02, 2686
groupdate, 0.1.4, 2013-05-01, 2687
groupdate, 0.1.3, 2013-04-25, 2763
groupdate, 0.1.2, 2013-04-25, 2703
groupdate, 0.1.1, 2013-04-22, 5177
groupdate, 0.1.0, 2013-04-22, 2714
groupdate, 0.0.3, 2013-04-18, 2695
groupdate, 0.0.2, 2013-04-18, 2689
groupdate, 0.0.1, 2013-04-18, 2703
