name, version, created, downloads
hexapdf, 0.28.0, 2022-12-30, 9481
hexapdf, 0.27.0, 2022-11-18, 17976
hexapdf, 0.26.2, 2022-10-21, 9504
hexapdf, 0.26.1, 2022-10-14, 6478
hexapdf, 0.26.0, 2022-10-13, 3175
hexapdf, 0.25.0, 2022-10-02, 8783
hexapdf, 0.24.2, 2022-08-30, 36210
hexapdf, 0.24.1, 2022-08-11, 14151
hexapdf, 0.24.0, 2022-08-01, 15347
hexapdf, 0.23.0, 2022-05-26, 69716
hexapdf, 0.22.0, 2022-03-26, 151397
hexapdf, 0.21.1, 2022-03-12, 38490
hexapdf, 0.21.0, 2022-03-04, 6591
hexapdf, 0.20.4, 2022-01-26, 62869
hexapdf, 0.20.3, 2022-01-24, 6450
hexapdf, 0.20.2, 2022-01-17, 4687
hexapdf, 0.20.1, 2022-01-05, 7321
hexapdf, 0.20.0, 2021-12-30, 3338
hexapdf, 0.19.3, 2021-12-14, 10732
hexapdf, 0.19.2, 2021-12-13, 2344
hexapdf, 0.19.1, 2021-12-12, 1421
hexapdf, 0.19.0, 2021-11-24, 13593
hexapdf, 0.18.0, 2021-11-04, 34992
hexapdf, 0.17.3, 2021-10-31, 4787
hexapdf, 0.17.2, 2021-10-26, 4383
hexapdf, 0.17.1, 2021-10-22, 3863
hexapdf, 0.17.0, 2021-10-21, 1598
hexapdf, 0.16.0, 2021-09-28, 19539
hexapdf, 0.15.9, 2021-09-04, 35704
hexapdf, 0.15.8, 2021-08-16, 9376
hexapdf, 0.15.7, 2021-07-17, 10690
hexapdf, 0.15.6, 2021-07-16, 1333
hexapdf, 0.15.5, 2021-07-06, 13788
hexapdf, 0.15.4, 2021-05-27, 13562
hexapdf, 0.15.3, 2021-05-01, 24243
hexapdf, 0.15.2, 2021-05-01, 1457
hexapdf, 0.15.1, 2021-04-15, 8576
hexapdf, 0.15.0, 2021-04-12, 4912
hexapdf, 0.14.4, 2021-02-27, 17864
hexapdf, 0.14.3, 2021-02-16, 19431
hexapdf, 0.14.2, 2021-01-22, 14464
hexapdf, 0.14.1, 2021-01-21, 1794
hexapdf, 0.14.0, 2020-12-30, 6919
hexapdf, 0.13.0, 2020-11-14, 19003
hexapdf, 0.12.3, 2020-08-22, 50229
hexapdf, 0.12.2, 2020-08-17, 2786
hexapdf, 0.12.1, 2020-08-16, 1465
hexapdf, 0.12.0, 2020-08-12, 2533
hexapdf, 0.11.9, 2020-06-15, 66626
hexapdf, 0.11.8, 2020-06-11, 2772
hexapdf, 0.11.7, 2020-06-09, 1663
hexapdf, 0.11.6, 2020-05-27, 39072
hexapdf, 0.11.5, 2020-01-27, 117761
hexapdf, 0.11.4, 2019-12-28, 11051
hexapdf, 0.11.3, 2019-11-27, 3737
hexapdf, 0.11.2, 2019-11-22, 2108
hexapdf, 0.11.1, 2019-11-19, 8308
hexapdf, 0.11.0, 2019-11-19, 11681
hexapdf, 0.10.0, 2019-10-02, 31090
hexapdf, 0.9.3, 2019-06-13, 54915
hexapdf, 0.9.2, 2019-05-22, 3958
hexapdf, 0.9.1, 2019-03-26, 13314
hexapdf, 0.9.0, 2018-12-31, 11632
hexapdf, 0.8.0, 2018-10-26, 26973
hexapdf, 0.7.0, 2018-06-19, 25803
hexapdf, 0.6.0, 2017-10-27, 1132017
hexapdf, 0.5.0, 2017-06-24, 73718
hexapdf, 0.4.0, 2017-03-19, 6122
hexapdf, 0.3.0, 2017-01-25, 2407
hexapdf, 0.2.0, 2016-11-28, 2629
hexapdf, 0.1.0, 2016-10-26, 13208
