name, version, created, downloads
hightop, 0.3.0, 2021-08-13, 63097
hightop, 0.2.4, 2020-09-07, 32393
hightop, 0.2.3, 2020-06-18, 4847
hightop, 0.2.2, 2019-08-12, 46767
hightop, 0.2.1, 2019-08-05, 2028
hightop, 0.2.0, 2017-03-20, 114098
hightop, 0.1.4, 2016-02-04, 75641
hightop, 0.1.3, 2015-06-18, 284726
hightop, 0.1.2, 2014-11-06, 17371
hightop, 0.1.1, 2014-07-03, 3855
hightop, 0.1.0, 2014-06-12, 2835
hightop, 0.0.4, 2014-06-12, 2318
hightop, 0.0.3, 2014-06-12, 2285
hightop, 0.0.2, 2014-05-29, 2393
hightop, 0.0.1, 2014-05-11, 2433
