name, version, created, downloads
infoboxer, 0.4.0, 2021-05-30, 2251
infoboxer, 0.3.3, 2020-02-09, 7092
infoboxer, 0.3.2, 2018-02-09, 2316
infoboxer, 0.3.1, 2017-12-04, 1605
infoboxer, 0.3.1.pre, 2017-09-16, 1363
infoboxer, 0.3.0, 2017-07-23, 1795
infoboxer, 0.3.0.pre, 2017-09-16, 1357
infoboxer, 0.2.8, 2017-05-11, 1808
infoboxer, 0.2.7, 2016-09-18, 2399
infoboxer, 0.2.6, 2016-06-27, 2492
infoboxer, 0.2.5, 2016-06-27, 1616
infoboxer, 0.2.4, 2016-04-16, 2017
infoboxer, 0.2.3, 2016-03-02, 2602
infoboxer, 0.2.2, 2016-01-02, 1960
infoboxer, 0.2.1, 2015-12-21, 1854
infoboxer, 0.2.0, 2015-12-21, 1803
infoboxer, 0.1.2.1, 2015-12-04, 1898
infoboxer, 0.1.2, 2015-08-18, 2109
infoboxer, 0.1.1, 2015-08-11, 2279
infoboxer, 0.1.0, 2015-08-07, 2310
