name, version, created, downloads
kittyverse, 1.0.1, 2021-02-17, 2069
kittyverse, 1.0.0, 2021-02-17, 1455
kittyverse, 0.5.0, 2019-08-10, 1987
kittyverse, 0.4.5, 2019-05-21, 1765
kittyverse, 0.4.4, 2019-05-19, 1652
kittyverse, 0.4.3, 2019-05-18, 1653
kittyverse, 0.4.2, 2019-05-17, 1658
kittyverse, 0.4.1, 2019-05-14, 1670
kittyverse, 0.4.0, 2019-05-09, 1671
kittyverse, 0.3.0, 2019-05-08, 1657
kittyverse, 0.2.0, 2019-01-13, 1344
kittyverse, 0.1.0, 2019-01-13, 1274
kittyverse, 0.0.1, 2019-01-11, 1302
