name, version, created, downloads
lightgbm, 0.2.6, 2021-10-25, 18268
lightgbm, 0.2.5, 2021-07-07, 27768
lightgbm, 0.2.4, 2021-03-26, 7606
lightgbm, 0.2.3, 2021-03-09, 1847
lightgbm, 0.2.2, 2020-12-08, 5810
lightgbm, 0.2.1, 2020-11-16, 2552
lightgbm, 0.2.0, 2020-09-01, 7039
lightgbm, 0.1.9, 2020-06-11, 4915
lightgbm, 0.1.8, 2020-05-09, 2243
lightgbm, 0.1.7, 2019-12-06, 6577
lightgbm, 0.1.6, 2019-09-30, 1749
lightgbm, 0.1.5, 2019-09-03, 2380
lightgbm, 0.1.4, 2019-08-19, 1581
lightgbm, 0.1.3, 2019-08-16, 1554
lightgbm, 0.1.2, 2019-08-15, 1546
lightgbm, 0.1.1, 2019-08-14, 1538
lightgbm, 0.1.0, 2019-08-14, 1526
