name, version, created, downloads
mailkick, 1.0.1, 2021-06-20, 15253
mailkick, 1.0.0, 2021-06-04, 2288
mailkick, 0.4.3, 2020-11-01, 110774
mailkick, 0.4.2, 2020-04-06, 77992
mailkick, 0.4.1, 2019-10-28, 15456
mailkick, 0.4.0, 2019-07-16, 7964
mailkick, 0.3.1, 2018-04-21, 85933
mailkick, 0.3.0, 2018-04-20, 1803
mailkick, 0.2.1, 2017-10-30, 15462
mailkick, 0.2.0, 2017-05-01, 43698
mailkick, 0.1.6, 2017-01-10, 22746
mailkick, 0.1.5, 2016-12-07, 3452
mailkick, 0.1.4, 2016-02-21, 30040
mailkick, 0.1.3, 2015-06-30, 49664
mailkick, 0.1.2, 2015-06-07, 2563
mailkick, 0.1.1, 2015-01-31, 47538
mailkick, 0.1.0, 2014-08-31, 2846
mailkick, 0.0.6, 2014-05-09, 2835
mailkick, 0.0.5, 2014-05-05, 2802
mailkick, 0.0.4, 2014-05-05, 2796
mailkick, 0.0.3, 2014-05-05, 2776
mailkick, 0.0.2, 2014-05-04, 2807
mailkick, 0.0.1, 2014-05-04, 2771
