name, version, created, downloads
microgem, 1.1.1, 2021-12-28, 1156
microgem, 1.1.0, 2020-12-30, 1152
microgem, 1.0.23, 2020-09-21, 1196
microgem, 1.0.22, 2020-04-11, 1388
microgem, 1.0.21, 2020-02-02, 1410
microgem, 1.0.20, 2019-12-29, 1399
microgem, 1.0.19, 2019-04-02, 1326
microgem, 1.0.18, 2019-04-02, 1231
microgem, 1.0.17, 2019-03-19, 1271
microgem, 1.0.16, 2019-03-13, 1262
microgem, 1.0.15, 2019-01-31, 1301
microgem, 1.0.14, 2018-12-26, 1363
microgem, 1.0.13, 2018-03-31, 1450
microgem, 1.0.12, 2018-02-19, 1396
microgem, 1.0.11, 2017-12-06, 1467
microgem, 1.0.10, 2017-07-13, 1569
microgem, 1.0.9, 2017-03-05, 1596
microgem, 1.0.8, 2017-02-16, 1559
microgem, 1.0.7, 2016-10-10, 1676
microgem, 1.0.6, 2016-02-21, 1906
microgem, 1.0.5, 2016-01-02, 1875
microgem, 1.0.4, 2015-11-07, 1921
microgem, 1.0.3, 2015-03-26, 2063
microgem, 1.0.2, 2015-03-23, 1986
microgem, 1.0.1, 2015-03-20, 2003
microgem, 1.0.0, 2015-03-19, 1988
