name, version, created, downloads
monos, 1.1.1, 2020-11-04, 1817
monos, 1.1.0, 2020-11-02, 1082
monos, 1.0.2, 2020-10-27, 1114
monos, 1.0.1, 2020-10-26, 1086
monos, 1.0.0, 2020-10-25, 1086
monos, 0.6.0, 2020-10-24, 1081
monos, 0.5.0, 2020-10-21, 1089
monos, 0.4.0, 2020-09-06, 1178
monos, 0.3.1, 2020-09-06, 1138
monos, 0.3.0, 2020-09-06, 1139
monos, 0.2.1, 2020-09-04, 1130
monos, 0.2.0, 2020-09-04, 1088
monos, 0.1.2, 2020-09-01, 1112
monos, 0.1.1, 2020-09-01, 1079
monos, 0.1.0, 2020-09-01, 1080
