name, version, created, downloads
onnxruntime, 0.7.4, 2022-10-30, 1376
onnxruntime, 0.7.4, 2022-10-30, 249
onnxruntime, 0.7.4, 2022-10-30, 220
onnxruntime, 0.7.4, 2022-10-30, 224
onnxruntime, 0.7.4, 2022-10-30, 217
onnxruntime, 0.7.4, 2022-10-30, 298
onnxruntime, 0.7.3, 2022-07-23, 15758
onnxruntime, 0.7.3, 2022-07-23, 476
onnxruntime, 0.7.3, 2022-07-23, 434
onnxruntime, 0.7.3, 2022-07-23, 446
onnxruntime, 0.7.3, 2022-07-23, 465
onnxruntime, 0.7.3, 2022-07-23, 488
onnxruntime, 0.7.2, 2022-05-04, 6059
onnxruntime, 0.7.2, 2022-05-04, 537
onnxruntime, 0.7.2, 2022-05-04, 518
onnxruntime, 0.7.2, 2022-05-04, 521
onnxruntime, 0.7.2, 2022-05-04, 527
onnxruntime, 0.7.2, 2022-05-04, 571
onnxruntime, 0.7.1, 2022-03-28, 3534
onnxruntime, 0.7.1, 2022-03-28, 642
onnxruntime, 0.7.1, 2022-03-28, 615
onnxruntime, 0.7.1, 2022-03-28, 628
onnxruntime, 0.7.1, 2022-03-28, 613
onnxruntime, 0.7.1, 2022-03-28, 665
onnxruntime, 0.7.0, 2022-03-28, 930
onnxruntime, 0.7.0, 2022-03-28, 564
onnxruntime, 0.7.0, 2022-03-28, 550
onnxruntime, 0.7.0, 2022-03-28, 555
onnxruntime, 0.7.0, 2022-03-28, 554
onnxruntime, 0.7.0, 2022-03-28, 582
onnxruntime, 0.6.6, 2022-03-27, 1755508
onnxruntime, 0.6.5, 2021-12-08, 4805
onnxruntime, 0.6.4, 2021-09-23, 1835
onnxruntime, 0.6.3, 2021-07-08, 2600
onnxruntime, 0.6.2, 2021-06-03, 4154
onnxruntime, 0.6.1, 2021-05-17, 3065
onnxruntime, 0.6.0, 2021-03-15, 1652
onnxruntime, 0.5.2, 2020-12-28, 1401
onnxruntime, 0.5.1, 2020-11-01, 1255
onnxruntime, 0.5.0, 2020-10-02, 1334
onnxruntime, 0.4.0, 2020-07-21, 1426
onnxruntime, 0.3.3, 2020-06-17, 1721
onnxruntime, 0.3.2, 2020-06-16, 1156
onnxruntime, 0.3.1, 2020-05-19, 1324
onnxruntime, 0.3.0, 2020-03-11, 1525
onnxruntime, 0.2.3, 2020-01-24, 1424
onnxruntime, 0.2.2, 2019-12-24, 1573
onnxruntime, 0.2.1, 2019-12-20, 1388
onnxruntime, 0.2.0, 2019-10-30, 1531
onnxruntime, 0.1.2, 2019-10-29, 1451
onnxruntime, 0.1.1, 2019-09-03, 1632
onnxruntime, 0.1.0, 2019-08-26, 1549
