name, version, created, downloads
pghero, 3.1.0, 2023-01-05, 29509
pghero, 3.0.1, 2022-10-10, 105501
pghero, 3.0.0, 2022-09-13, 37161
pghero, 2.8.3, 2022-05-02, 554899
pghero, 2.8.2, 2021-12-16, 302492
pghero, 2.8.1, 2021-03-26, 963773
pghero, 2.8.0, 2021-03-14, 47847
pghero, 2.7.4, 2021-02-01, 102158
pghero, 2.7.3, 2020-11-24, 133916
pghero, 2.7.2, 2020-09-10, 134759
pghero, 2.7.1, 2020-09-08, 199245
pghero, 2.7.0, 2020-08-04, 764653
pghero, 2.6.0, 2020-07-09, 19022
pghero, 2.5.1, 2020-06-23, 26501
pghero, 2.5.0, 2020-05-24, 33677
pghero, 2.4.2, 2020-04-16, 47304
pghero, 2.4.1, 2019-11-21, 195097
pghero, 2.4.0, 2019-11-11, 12607
pghero, 2.3.0, 2019-08-19, 144639
pghero, 2.2.1, 2019-06-05, 220598
pghero, 2.2.0, 2018-09-03, 561377
pghero, 2.1.1, 2018-04-24, 236680
pghero, 2.1.0, 2017-12-01, 179034
pghero, 2.0.8, 2017-11-13, 27135
pghero, 2.0.7, 2017-10-28, 8038
pghero, 2.0.6, 2017-09-24, 49023
pghero, 2.0.5, 2017-09-15, 20010
pghero, 2.0.4, 2017-08-28, 19372
pghero, 2.0.3, 2017-08-23, 7191
pghero, 2.0.2, 2017-08-09, 14174
pghero, 2.0.1, 2017-08-08, 24967
pghero, 2.0.0, 2017-08-08, 2710
pghero, 1.7.0, 2017-05-01, 170609
pghero, 1.6.5, 2017-04-20, 43560
pghero, 1.6.4, 2017-03-13, 46920
pghero, 1.6.3, 2017-02-09, 22400
pghero, 1.6.2, 2016-10-27, 69830
pghero, 1.6.1, 2016-10-25, 3643
pghero, 1.6.0, 2016-10-21, 28042
pghero, 1.5.3, 2016-10-07, 12704
pghero, 1.5.2, 2016-10-02, 22475
pghero, 1.5.1, 2016-09-27, 17645
pghero, 1.5.0, 2016-09-22, 3083
pghero, 1.4.2, 2016-09-07, 7266
pghero, 1.4.1, 2016-08-26, 2722
pghero, 1.4.0, 2016-08-25, 2700
pghero, 1.3.2, 2016-08-04, 27920
pghero, 1.3.1, 2016-07-11, 8342
pghero, 1.3.0, 2016-06-28, 17904
pghero, 1.2.4, 2016-05-06, 13942
pghero, 1.2.3, 2016-04-21, 5127
pghero, 1.2.2, 2016-01-21, 41141
pghero, 1.2.1, 2016-01-07, 3299
pghero, 1.2.0, 2015-12-31, 4943
pghero, 1.1.4, 2015-12-09, 7616
pghero, 1.1.3, 2015-10-22, 10006
pghero, 1.1.2, 2015-10-19, 6600
pghero, 1.1.1, 2015-07-24, 24948
pghero, 1.1.0, 2015-06-26, 13263
pghero, 1.0.1, 2015-04-17, 29483
pghero, 1.0.0, 2015-04-11, 2713
pghero, 0.1.10, 2015-03-20, 6933
pghero, 0.1.9, 2015-01-26, 10070
pghero, 0.1.8, 2015-01-20, 2483
pghero, 0.1.7, 2014-11-13, 14492
pghero, 0.1.6, 2014-10-10, 10431
pghero, 0.1.5, 2014-09-04, 7679
pghero, 0.1.4, 2014-08-31, 2594
pghero, 0.1.3, 2014-08-04, 26143
pghero, 0.1.2, 2014-08-04, 2300
pghero, 0.1.1, 2014-08-04, 2232
pghero, 0.1.0, 2014-07-23, 11669
pghero, 0.0.3, 2014-07-22, 2197
pghero, 0.0.2, 2014-07-22, 2185
pghero, 0.0.1, 2014-07-21, 2196
