name, version, created, downloads
pgslice, 0.4.8, 2022-02-28, 274308
pgslice, 0.4.7, 2020-08-14, 44130
pgslice, 0.4.6, 2020-05-29, 2888
pgslice, 0.4.5, 2018-10-18, 15737
pgslice, 0.4.4, 2018-08-18, 2884
pgslice, 0.4.3, 2018-08-17, 1294
pgslice, 0.4.2, 2018-07-24, 1509
pgslice, 0.4.1, 2018-05-01, 34435
pgslice, 0.4.0, 2017-10-07, 8578
pgslice, 0.3.6, 2017-07-10, 1551
pgslice, 0.3.5, 2017-07-07, 1461
pgslice, 0.3.4, 2017-07-06, 1442
pgslice, 0.3.3, 2017-03-23, 1824
pgslice, 0.3.2, 2016-12-15, 1605
pgslice, 0.3.1, 2016-12-14, 1530
pgslice, 0.3.0, 2016-12-13, 1514
pgslice, 0.2.3, 2016-10-11, 1612
pgslice, 0.2.2, 2016-10-07, 1579
pgslice, 0.2.1, 2016-09-29, 1583
pgslice, 0.2.0, 2016-09-23, 1576
pgslice, 0.1.7, 2016-09-15, 1588
pgslice, 0.1.6, 2016-08-05, 1703
pgslice, 0.1.5, 2016-04-26, 2392
pgslice, 0.1.4, 2016-04-25, 2012
pgslice, 0.1.3, 2016-04-25, 1613
pgslice, 0.1.2, 2016-04-25, 1628
pgslice, 0.1.1, 2016-04-25, 1609
pgslice, 0.1.0, 2016-04-24, 2170
