name, version, created, downloads
pgsync, 0.7.3, 2022-11-10, 34115
pgsync, 0.7.2, 2022-09-19, 29649
pgsync, 0.7.1, 2022-07-06, 21002
pgsync, 0.7.0, 2022-03-11, 58516
pgsync, 0.6.8, 2021-09-21, 52750
pgsync, 0.6.7, 2021-04-26, 181367
pgsync, 0.6.6, 2020-10-30, 45192
pgsync, 0.6.5, 2020-07-10, 11395
pgsync, 0.6.4, 2020-06-11, 5846
pgsync, 0.6.3, 2020-06-10, 1300
pgsync, 0.6.2, 2020-06-10, 1213
pgsync, 0.6.1, 2020-06-08, 1643
pgsync, 0.6.0, 2020-06-07, 1146
pgsync, 0.5.5, 2020-05-14, 11080
pgsync, 0.5.4, 2020-05-10, 4373
pgsync, 0.5.3, 2020-04-04, 3057
pgsync, 0.5.2, 2020-03-28, 2019
pgsync, 0.5.1, 2020-03-27, 1357
pgsync, 0.5.0, 2020-03-27, 1234
pgsync, 0.4.3, 2019-10-28, 38927
pgsync, 0.4.2, 2019-10-28, 1411
pgsync, 0.4.1, 2018-12-15, 34607
pgsync, 0.4.0, 2018-03-01, 29735
pgsync, 0.3.9, 2018-02-27, 2166
pgsync, 0.3.8, 2017-10-01, 7470
pgsync, 0.3.7, 2017-08-30, 1674
pgsync, 0.3.6, 2016-10-03, 4509
pgsync, 0.3.5, 2016-07-23, 2256
pgsync, 0.3.4, 2016-04-29, 2129
pgsync, 0.3.3, 2016-04-26, 2257
pgsync, 0.3.2, 2016-04-19, 1736
pgsync, 0.3.1, 2016-04-07, 2186
pgsync, 0.3.0, 2016-04-07, 1672
pgsync, 0.2.4, 2016-04-05, 1731
pgsync, 0.2.3, 2016-03-31, 2162
pgsync, 0.2.2, 2016-03-28, 2779
pgsync, 0.2.1, 2016-03-27, 1685
pgsync, 0.2.0, 2016-03-26, 1709
pgsync, 0.1.1, 2016-03-24, 1704
pgsync, 0.1.0, 2015-12-08, 2008
