name, version, created, downloads
pluto-models, 1.6.2, 2020-03-10, 57895
pluto-models, 1.6.1, 2020-02-21, 12030
pluto-models, 1.6.0, 2020-02-16, 1338
pluto-models, 1.5.6, 2020-02-07, 1387
pluto-models, 1.5.5, 2020-02-06, 1307
pluto-models, 1.5.4, 2020-02-01, 1350
pluto-models, 1.5.3, 2020-01-30, 1328
pluto-models, 1.5.2, 2020-01-26, 1872
pluto-models, 1.5.1, 2019-06-14, 3108
pluto-models, 1.5.0, 2017-11-27, 2565
pluto-models, 1.4.1, 2017-10-23, 1521
pluto-models, 1.4.0, 2015-01-18, 2608
pluto-models, 1.3.2, 2014-12-26, 2088
pluto-models, 1.3.1, 2014-12-25, 2024
pluto-models, 1.3.0, 2014-12-15, 2066
pluto-models, 1.2.4, 2014-12-14, 2031
pluto-models, 1.2.3, 2014-12-13, 2027
pluto-models, 1.2.2, 2014-12-13, 2029
pluto-models, 1.2.1, 2014-12-13, 2026
pluto-models, 1.2.0, 2014-12-13, 2024
pluto-models, 1.1.0, 2014-12-12, 2015
