name, version, created, downloads
pluto-update, 1.6.4, 2020-03-10, 57884
pluto-update, 1.6.3, 2020-02-01, 12244
pluto-update, 1.6.2, 2020-01-30, 1311
pluto-update, 1.6.1, 2020-01-26, 1854
pluto-update, 1.6.0, 2015-01-18, 4932
pluto-update, 1.5.0, 2015-01-11, 2017
pluto-update, 1.4.0, 2015-01-09, 2034
pluto-update, 1.3.0, 2014-12-25, 2074
pluto-update, 1.2.0, 2014-12-15, 2051
pluto-update, 1.1.2, 2014-12-14, 2030
pluto-update, 1.1.1, 2014-12-14, 2027
pluto-update, 1.1.0, 2014-12-13, 2034
