name, version, created, downloads
pluto, 1.3.4, 2020-02-01, 68647
pluto, 1.3.3, 2020-01-30, 1302
pluto, 1.3.2, 2020-01-26, 1852
pluto, 1.3.1, 2017-11-27, 3672
pluto, 1.3.0, 2017-11-26, 1377
pluto, 1.2.3, 2015-01-18, 2537
pluto, 1.2.2, 2015-01-11, 2010
pluto, 1.2.1, 2015-01-11, 2010
pluto, 1.2.0, 2015-01-11, 2000
pluto, 1.1.0, 2014-12-13, 2054
pluto, 1.0.1, 2014-02-28, 2304
pluto, 1.0.0, 2013-11-11, 2392
pluto, 0.9.2, 2013-11-09, 2337
pluto, 0.9.1, 2013-11-09, 2302
pluto, 0.9.0, 2013-10-11, 2600
pluto, 0.8.10, 2013-10-06, 2340
pluto, 0.8.9, 2013-10-05, 2340
pluto, 0.8.8, 2013-10-04, 2325
pluto, 0.8.7, 2013-10-04, 2365
pluto, 0.8.6, 2013-10-04, 2352
pluto, 0.8.5, 2013-10-02, 2333
pluto, 0.8.4, 2013-10-01, 2323
pluto, 0.8.3, 2013-09-28, 2344
pluto, 0.8.2, 2013-09-24, 2343
pluto, 0.8.1, 2013-09-23, 2331
pluto, 0.8.0, 2013-09-21, 2326
pluto, 0.7.0, 2013-09-12, 2365
pluto, 0.6.0, 2013-09-10, 2368
pluto, 0.5.0, 2013-09-10, 2320
pluto, 0.4.0, 2013-09-09, 2335
pluto, 0.3.0, 2012-07-19, 2732
pluto, 0.2.0, 2012-07-17, 2684
pluto, 0.1.0, 2012-07-14, 2677
pluto, 0.0.1, 2012-07-14, 2683
