name, version, created, downloads
polars-df, 0.2.1, 2023-01-18, 133
polars-df, 0.2.1, 2023-01-18, 119
polars-df, 0.2.1, 2023-01-18, 121
polars-df, 0.2.1, 2023-01-18, 99
polars-df, 0.2.1, 2023-01-18, 124
polars-df, 0.2.0, 2023-01-15, 106
polars-df, 0.2.0, 2023-01-15, 100
polars-df, 0.2.0, 2023-01-15, 102
polars-df, 0.2.0, 2023-01-15, 101
polars-df, 0.2.0, 2023-01-15, 132
polars-df, 0.1.5, 2022-12-22, 166
polars-df, 0.1.4, 2022-12-02, 163
polars-df, 0.1.3, 2022-11-28, 160
polars-df, 0.1.2, 2022-11-26, 160
polars-df, 0.1.1, 2022-11-24, 163
polars-df, 0.1.0, 2022-11-22, 151
