name, version, created, downloads
prophet-rb, 0.4.2, 2022-07-12, 5309
prophet-rb, 0.4.1, 2022-07-10, 465
prophet-rb, 0.4.0, 2022-07-07, 413
prophet-rb, 0.3.2, 2022-05-15, 1800
prophet-rb, 0.3.1, 2022-04-28, 2149
prophet-rb, 0.3.0, 2022-04-24, 729
prophet-rb, 0.2.5, 2021-07-29, 5500
prophet-rb, 0.2.4, 2021-04-03, 5435
prophet-rb, 0.2.3, 2020-10-15, 3349
prophet-rb, 0.2.2, 2020-07-26, 1441
prophet-rb, 0.2.1, 2020-07-15, 1193
prophet-rb, 0.2.0, 2020-05-14, 1610
prophet-rb, 0.1.1, 2020-04-10, 1289
prophet-rb, 0.1.0, 2020-04-09, 1229
