name, version, created, downloads
pws, 1.0.8, 2019-01-28, 1943
pws, 1.0.7, 2017-02-06, 2620
pws, 1.0.6, 2015-01-01, 9280
pws, 1.0.5, 2014-03-24, 2553
pws, 1.0.4, 2012-08-14, 3422
pws, 1.0.3, 2012-07-06, 2801
pws, 1.0.2, 2012-06-14, 2774
pws, 1.0.1, 2012-05-31, 2859
pws, 1.0.0, 2012-05-28, 2744
pws, 1.0.0.pre.1, 2012-05-24, 2205
pws, 0.9.2, 2012-05-02, 2803
pws, 0.9.1, 2012-01-24, 3065
pws, 0.9.0, 2012-01-19, 2969
pws, 0.1.3, 2010-11-02, 3097
pws, 0.1.2, 2010-11-02, 3082
pws, 0.1.1, 2010-11-01, 3106
pws, 0.1.0, 2010-11-01, 3092
pws, 0.1.0.pre, 2010-11-01, 2521
