name, version, created, downloads
rover-df, 0.3.4, 2022-07-12, 15363
rover-df, 0.3.3, 2022-07-11, 439
rover-df, 0.3.2, 2022-07-10, 471
rover-df, 0.3.1, 2022-05-18, 2872
rover-df, 0.3.0, 2022-04-04, 3626
rover-df, 0.2.8, 2022-03-15, 4642
rover-df, 0.2.7, 2022-01-16, 3583
rover-df, 0.2.6, 2021-10-27, 4665
rover-df, 0.2.5, 2021-09-25, 1725
rover-df, 0.2.4, 2021-06-03, 6625
rover-df, 0.2.3, 2021-02-08, 11136
rover-df, 0.2.2, 2021-01-02, 2217
rover-df, 0.2.1, 2020-11-24, 2424
rover-df, 0.2.0, 2020-08-17, 2141
rover-df, 0.1.1, 2020-06-10, 1890
rover-df, 0.1.0, 2020-05-14, 1250
