name, version, created, downloads
rubybuntu-gedit, 12.01.05, 2012-01-04, 5418
rubybuntu-gedit, 11.12.06, 2011-12-06, 2876
rubybuntu-gedit, 11.11.01, 2011-11-01, 2844
rubybuntu-gedit, 11.10.18, 2011-10-18, 2841
rubybuntu-gedit, 11.09.30, 2011-09-29, 2861
rubybuntu-gedit, 11.09.29, 2011-09-29, 2822
rubybuntu-gedit, 11.09.19, 2011-09-18, 2819
rubybuntu-gedit, 11.09.14, 2011-09-14, 2818
rubybuntu-gedit, 11.08.31, 2011-08-31, 2833
rubybuntu-gedit, 11.08.30, 2011-08-30, 2842
rubybuntu-gedit, 11.08.29, 2011-08-29, 2861
rubybuntu-gedit, 11.08.23, 2011-08-23, 2835
rubybuntu-gedit, 11.08.21, 2011-08-20, 2825
rubybuntu-gedit, 11.08.20, 2011-08-19, 2824
rubybuntu-gedit, 11.08.19, 2011-08-18, 2874
rubybuntu-gedit, 11.08.18, 2011-08-18, 2860
