name, version, created, downloads
searchjoy, 1.0.0, 2022-05-10, 32926
searchjoy, 0.5.1, 2020-09-08, 149816
searchjoy, 0.5.0, 2020-04-16, 48833
searchjoy, 0.4.3, 2020-03-07, 36803
searchjoy, 0.4.2, 2019-10-09, 386433
searchjoy, 0.4.1, 2019-05-27, 17484
searchjoy, 0.4.0, 2019-04-15, 5851
searchjoy, 0.3.2, 2018-03-27, 95723
searchjoy, 0.3.1, 2017-05-12, 71253
searchjoy, 0.3.0, 2017-05-01, 1796
searchjoy, 0.2.1, 2017-03-20, 12823
searchjoy, 0.2.0, 2017-01-06, 10752
searchjoy, 0.1.0, 2016-08-24, 11550
searchjoy, 0.0.10, 2016-04-21, 16552
searchjoy, 0.0.9, 2016-03-13, 334177
searchjoy, 0.0.8, 2015-12-13, 6204
searchjoy, 0.0.7, 2014-08-18, 72431
searchjoy, 0.0.6, 2013-12-20, 21526
searchjoy, 0.0.5, 2013-11-02, 2432
