name, version, created, downloads
searchkick, 5.1.1, 2022-12-05, 47695
searchkick, 5.1.0, 2022-10-13, 58287
searchkick, 5.0.5, 2022-10-10, 13158
searchkick, 5.0.4, 2022-06-17, 241006
searchkick, 5.0.3, 2022-03-13, 190436
searchkick, 5.0.2, 2022-03-03, 46315
searchkick, 5.0.1, 2022-02-27, 52831
searchkick, 5.0.0, 2022-02-22, 8157
searchkick, 4.6.3, 2021-11-19, 519751
searchkick, 4.6.2, 2021-11-15, 8667
searchkick, 4.6.1, 2021-09-25, 142414
searchkick, 4.6.0, 2021-08-22, 50950
searchkick, 4.5.2, 2021-08-05, 68091
searchkick, 4.5.1, 2021-08-03, 15378
searchkick, 4.5.0, 2021-06-07, 250198
searchkick, 4.4.4, 2021-03-12, 451195
searchkick, 4.4.3, 2021-02-25, 60740
searchkick, 4.4.2, 2020-11-24, 717068
searchkick, 4.4.1, 2020-06-25, 422916
searchkick, 4.4.0, 2020-06-18, 35088
searchkick, 4.3.1, 2020-05-14, 117478
searchkick, 4.3.0, 2020-02-19, 379187
searchkick, 4.2.1, 2020-01-28, 107069
searchkick, 4.2.0, 2019-12-19, 82697
searchkick, 4.1.1, 2019-11-20, 94174
searchkick, 4.1.0, 2019-08-01, 318801
searchkick, 4.0.2, 2019-06-05, 163631
searchkick, 4.0.1, 2019-05-30, 5973
searchkick, 4.0.0, 2019-04-12, 125645
searchkick, 3.1.3, 2019-04-12, 1225255
searchkick, 3.1.2, 2018-09-28, 541079
searchkick, 3.1.1, 2018-08-09, 126896
searchkick, 3.1.0, 2018-05-12, 149496
searchkick, 3.0.3, 2018-04-23, 89216
searchkick, 3.0.2, 2018-03-26, 60938
searchkick, 3.0.1, 2018-03-15, 17684
searchkick, 3.0.0, 2018-03-03, 35516
searchkick, 2.5.0, 2018-02-15, 601341
searchkick, 2.4.0, 2017-11-15, 380428
searchkick, 2.3.2, 2017-09-09, 232527
searchkick, 2.3.1, 2017-07-07, 197618
searchkick, 2.3.0, 2017-05-07, 139006
searchkick, 2.2.1, 2017-04-16, 43451
searchkick, 2.2.0, 2017-03-19, 45391
searchkick, 2.1.1, 2017-01-18, 123276
searchkick, 2.1.0, 2017-01-16, 4058
searchkick, 2.0.4, 2017-01-15, 7055
searchkick, 2.0.3, 2017-01-13, 3193
searchkick, 2.0.2, 2017-01-09, 6162
searchkick, 2.0.1, 2016-12-31, 3904
searchkick, 2.0.0, 2016-12-29, 24440
searchkick, 1.5.1, 2016-12-29, 256878
searchkick, 1.5.0, 2016-12-23, 3717
searchkick, 1.4.2, 2016-12-22, 21470
searchkick, 1.4.1, 2016-12-12, 17442
searchkick, 1.4.0, 2016-10-27, 175533
