name, version, created, downloads
slideshow-models, 4.1.0, 2019-02-21, 2233
slideshow-models, 4.0.1, 2017-10-28, 2167
slideshow-models, 4.0.0, 2017-10-27, 1368
slideshow-models, 3.3.1, 2017-10-24, 1386
slideshow-models, 3.3.0, 2016-09-06, 2146
slideshow-models, 3.2.0, 2016-05-09, 2349
slideshow-models, 3.1.1, 2016-05-08, 2161
slideshow-models, 3.1.0, 2016-05-06, 1617
slideshow-models, 3.0.2, 2016-05-06, 1568
slideshow-models, 3.0.1, 2016-04-11, 1706
slideshow-models, 3.0.0, 2016-04-02, 2111
slideshow-models, 2.5.0, 2014-12-11, 3070
slideshow-models, 2.4.0, 2014-12-10, 2000
