name, version, created, downloads
slideshow, 4.1.0, 2019-02-21, 2018
slideshow, 4.0.0, 2017-10-27, 1909
slideshow, 3.1.0, 2016-05-06, 2816
slideshow, 3.0.1, 2016-04-11, 1719
slideshow, 3.0.0, 2016-04-02, 1666
slideshow, 2.4.1, 2014-12-10, 3114
slideshow, 2.4.0, 2014-12-10, 1993
slideshow, 2.3.0, 2013-07-16, 4023
slideshow, 2.2.0, 2013-07-12, 2405
slideshow, 2.1.0, 2013-07-07, 2386
slideshow, 2.0.1, 2013-06-21, 2411
slideshow, 2.0.0, 2013-06-19, 2368
slideshow, 1.2.5, 2013-06-16, 2369
slideshow, 1.2.4, 2013-06-15, 2349
slideshow, 1.2.3, 2012-06-24, 3643
slideshow, 1.2.2, 2012-06-24, 2656
slideshow, 1.2.1, 2012-06-23, 2625
slideshow, 1.2.0, 2012-06-22, 2636
slideshow, 1.2.0.beta5, 2012-06-20, 2023
slideshow, 1.2.0.beta4, 2012-06-19, 2037
slideshow, 1.2.0.beta3, 2012-06-19, 2052
slideshow, 1.2.0.beta2, 2012-06-18, 2185
slideshow, 1.2.0.beta1, 2012-06-18, 2032
slideshow, 1.1.0, 2012-06-17, 2699
slideshow, 1.1.0.beta8, 2012-06-16, 2048
slideshow, 1.1.0.beta7, 2012-06-12, 1985
slideshow, 1.1.0.beta6, 2012-06-12, 2043
slideshow, 1.1.0.beta5, 2012-06-12, 2191
slideshow, 1.1.0.beta4, 2012-06-10, 2048
slideshow, 1.1.0.beta3, 2012-06-09, 2037
slideshow, 1.1.0.beta2, 2012-06-06, 2054
slideshow, 1.1.0.beta1, 2012-06-03, 2036
slideshow, 1.0.5, 2012-06-03, 2678
slideshow, 1.0.4, 2012-06-03, 2643
slideshow, 1.0.3, 2012-05-26, 2664
slideshow, 1.0.2, 2012-05-26, 2621
slideshow, 1.0.1, 2012-05-26, 2635
slideshow, 1.0.0, 2012-03-04, 2967
slideshow, 0.9.11, 2012-02-21, 2790
slideshow, 0.9.10, 2012-02-19, 2729
slideshow, 0.9.9, 2011-02-06, 13647
slideshow, 0.9.8, 2011-02-06, 2990
slideshow, 0.9.7, 2010-07-21, 3398
slideshow, 0.9.6, 2010-07-18, 3103
slideshow, 0.9.5, 2010-07-14, 3181
slideshow, 0.9.4, 2010-07-14, 3065
slideshow, 0.9.3, 2010-07-12, 3071
slideshow, 0.9.2, 2010-07-11, 3078
slideshow, 0.9.1, 2010-07-05, 3076
slideshow, 0.9, 2010-07-04, 3040
slideshow, 0.8.5, 2010-06-24, 3066
slideshow, 0.8.4, 2010-06-23, 3061
slideshow, 0.8.3, 2010-06-22, 3062
slideshow, 0.8.2, 2010-06-19, 3052
slideshow, 0.8.1, 2010-06-13, 3093
slideshow, 0.8, 2009-07-25, 3419
slideshow, 0.7.8, 2009-07-25, 3155
slideshow, 0.7.7, 2009-07-25, 3156
slideshow, 0.7.6, 2009-07-25, 3163
slideshow, 0.7.5, 2009-07-25, 3157
slideshow, 0.7.4, 2009-07-25, 3161
slideshow, 0.7.3, 2009-07-25, 3162
slideshow, 0.7.2, 2009-07-25, 3097
slideshow, 0.7.1, 2009-07-25, 3100
slideshow, 0.7, 2009-07-25, 3137
slideshow, 0.6.1, 2009-07-25, 3097
slideshow, 0.6, 2009-07-25, 3138
slideshow, 0.5.2, 2009-07-25, 3139
slideshow, 0.5.1, 2009-07-25, 3114
slideshow, 0.5, 2009-07-25, 3128
slideshow, 0.4.2, 2009-07-25, 3086
slideshow, 0.4.1, 2009-07-25, 3123
slideshow, 0.4, 2009-07-25, 3107
slideshow, 0.3.1, 2009-07-25, 3115
slideshow, 0.3, 2009-07-25, 3152
slideshow, 0.2, 2009-07-25, 3089
slideshow, 0.1, 2009-07-25, 3088
