name, version, created, downloads
slowpoke, 0.4.0, 2022-01-11, 100512
slowpoke, 0.3.2, 2019-12-23, 389836
slowpoke, 0.3.1, 2019-12-11, 5829
slowpoke, 0.3.0, 2019-06-01, 37062
slowpoke, 0.2.1, 2018-05-21, 209495
slowpoke, 0.2.0, 2017-11-06, 92290
slowpoke, 0.1.3, 2016-08-04, 40611
slowpoke, 0.1.2, 2016-02-11, 7328
slowpoke, 0.1.1, 2015-08-03, 16797
slowpoke, 0.1.0, 2015-06-25, 2033
slowpoke, 0.0.6, 2015-03-16, 2462
slowpoke, 0.0.5, 2015-03-04, 2764
slowpoke, 0.0.4, 2014-11-01, 2120
slowpoke, 0.0.3, 2014-10-23, 2041
slowpoke, 0.0.2, 2014-10-22, 2023
slowpoke, 0.0.1, 2014-10-22, 2036
