name, version, created, downloads
sportdb-config, 1.1.1, 2020-07-07, 1384
sportdb-config, 1.1.0, 2020-06-15, 1165
sportdb-config, 1.0.4, 2020-05-19, 1234
sportdb-config, 1.0.3, 2020-05-18, 1150
sportdb-config, 1.0.2, 2020-05-11, 1191
sportdb-config, 1.0.1, 2020-05-11, 1145
sportdb-config, 1.0.0, 2020-05-11, 1135
sportdb-config, 0.9.0, 2019-10-29, 1724
sportdb-config, 0.8.1, 2019-10-23, 1423
sportdb-config, 0.8.0, 2019-09-09, 1521
sportdb-config, 0.7.1, 2019-08-20, 1525
sportdb-config, 0.7.0, 2019-08-19, 1484
sportdb-config, 0.6.0, 2019-08-12, 1509
sportdb-config, 0.5.3, 2019-08-08, 1504
sportdb-config, 0.5.2, 2019-08-05, 1513
sportdb-config, 0.5.1, 2019-08-03, 1508
sportdb-config, 0.5.0, 2019-08-01, 1508
sportdb-config, 0.4.1, 2019-07-31, 1490
sportdb-config, 0.4.0, 2019-07-30, 1510
sportdb-config, 0.3.6, 2019-07-28, 1518
sportdb-config, 0.3.5, 2019-07-28, 1498
sportdb-config, 0.3.4, 2019-07-21, 1535
sportdb-config, 0.3.3, 2019-07-16, 1544
sportdb-config, 0.3.2, 2019-07-10, 1563
sportdb-config, 0.3.1, 2019-07-08, 1557
sportdb-config, 0.3.0, 2019-07-07, 1545
sportdb-config, 0.2.3, 2019-06-30, 1570
sportdb-config, 0.2.2, 2019-06-30, 1531
sportdb-config, 0.2.1, 2019-06-29, 1544
sportdb-config, 0.2.0, 2019-06-29, 1514
sportdb-config, 0.1.0, 2019-06-29, 1527
sportdb-config, 0.0.1, 2019-06-19, 1586
