name, version, created, downloads
sportdb-models, 2.0.3, 2020-10-17, 2093
sportdb-models, 2.0.2, 2020-08-01, 1257
sportdb-models, 2.0.1, 2020-06-15, 1207
sportdb-models, 2.0.0, 2020-05-24, 1205
sportdb-models, 1.19.1, 2020-05-23, 1169
sportdb-models, 1.19.0, 2020-05-11, 1213
sportdb-models, 1.18.6, 2019-12-29, 1540
sportdb-models, 1.18.5, 2019-12-29, 1303
sportdb-models, 1.18.4, 2019-12-26, 1330
sportdb-models, 1.18.3, 2019-12-25, 1333
sportdb-models, 1.18.2, 2019-11-03, 1514
sportdb-models, 1.18.1, 2019-11-03, 1367
sportdb-models, 1.18.0, 2018-07-13, 1766
sportdb-models, 1.17.0, 2017-12-01, 2004
sportdb-models, 1.16.2, 2015-12-12, 2914
sportdb-models, 1.16.1, 2015-12-10, 1774
sportdb-models, 1.16.0, 2015-12-10, 1742
sportdb-models, 1.15.2, 2015-12-08, 1780
sportdb-models, 1.15.1, 2015-12-05, 1772
sportdb-models, 1.15.0, 2015-11-28, 1802
sportdb-models, 1.14.2, 2015-09-17, 1949
sportdb-models, 1.14.1, 2015-09-10, 1837
sportdb-models, 1.14.0, 2015-08-24, 1914
sportdb-models, 1.13.0, 2015-07-24, 1931
sportdb-models, 1.12.0, 2015-07-22, 1881
sportdb-models, 1.11.2, 2015-04-14, 2004
sportdb-models, 1.11.1, 2015-04-12, 1929
sportdb-models, 1.11.0, 2014-12-09, 2099
sportdb-models, 1.10.1, 2014-12-06, 1998
sportdb-models, 1.10.0, 2014-12-05, 2007
