name, version, created, downloads
sportdb-readers, 1.1.2, 2020-08-01, 2249
sportdb-readers, 1.1.1, 2020-07-07, 1132
sportdb-readers, 1.1.0, 2020-06-15, 1166
sportdb-readers, 1.0.3, 2020-05-24, 1204
sportdb-readers, 1.0.2, 2020-05-12, 1210
sportdb-readers, 1.0.1, 2020-05-11, 1163
sportdb-readers, 1.0.0, 2020-05-11, 1135
sportdb-readers, 0.5.0, 2020-04-20, 1235
sportdb-readers, 0.4.8, 2019-12-29, 1508
sportdb-readers, 0.4.7, 2019-12-29, 1302
sportdb-readers, 0.4.6, 2019-12-28, 1320
sportdb-readers, 0.4.5, 2019-12-15, 1369
sportdb-readers, 0.4.4, 2019-12-01, 1409
sportdb-readers, 0.4.3, 2019-12-01, 1343
sportdb-readers, 0.4.2, 2019-11-28, 1386
sportdb-readers, 0.4.0, 2019-11-26, 1376
sportdb-readers, 0.3.7, 2019-11-25, 1383
sportdb-readers, 0.3.6, 2019-11-22, 1388
sportdb-readers, 0.3.5, 2019-11-22, 1349
sportdb-readers, 0.3.4, 2019-11-21, 1379
sportdb-readers, 0.3.3, 2019-11-19, 1391
sportdb-readers, 0.3.2, 2019-11-17, 1391
sportdb-readers, 0.3.1, 2019-11-17, 1369
sportdb-readers, 0.3.0, 2019-11-16, 1390
sportdb-readers, 0.2.3, 2019-11-14, 1404
sportdb-readers, 0.2.2, 2019-11-13, 1405
sportdb-readers, 0.2.1, 2019-11-09, 1428
sportdb-readers, 0.2.0, 2019-11-04, 1433
sportdb-readers, 0.1.2, 2019-11-03, 1413
sportdb-readers, 0.1.1, 2019-10-30, 1441
sportdb-readers, 0.1.0, 2019-10-30, 1399
sportdb-readers, 0.0.1, 2019-10-29, 1427
