name, version, created, downloads
textutils, 1.4.0, 2015-11-28, 148299
textutils, 1.3.1, 2015-06-15, 6372
textutils, 1.3.0, 2015-06-14, 1882
textutils, 1.2.4, 2015-06-14, 1881
textutils, 1.2.3, 2015-06-11, 1966
textutils, 1.2.2, 2015-06-04, 2058
textutils, 1.2.1, 2015-04-06, 3422
textutils, 1.2.0, 2015-02-19, 3250
textutils, 1.1.0, 2015-02-19, 1940
textutils, 1.0.1, 2015-01-18, 3040
textutils, 1.0.0, 2015-01-10, 2222
textutils, 0.10.0, 2014-12-04, 2619
textutils, 0.9.10, 2014-11-09, 3169
textutils, 0.9.9, 2014-11-08, 2020
textutils, 0.9.8, 2014-11-06, 2037
textutils, 0.9.7, 2014-11-06, 2012
textutils, 0.9.6, 2014-11-05, 2020
textutils, 0.9.5, 2014-10-29, 2183
textutils, 0.9.4, 2014-03-31, 36791
textutils, 0.9.3, 2014-03-30, 2170
textutils, 0.9.2, 2014-03-28, 2155
textutils, 0.9.1, 2014-03-24, 2345
textutils, 0.9.0, 2014-03-24, 2166
textutils, 0.8.7, 2014-03-02, 2868
textutils, 0.8.6, 2014-02-16, 3446
textutils, 0.8.5, 2014-02-15, 2179
textutils, 0.8.4, 2014-02-12, 2292
textutils, 0.8.3, 2014-01-23, 2838
textutils, 0.8.2, 2014-01-22, 2289
textutils, 0.8.1, 2014-01-17, 2333
textutils, 0.8.0, 2014-01-17, 2220
textutils, 0.7.1, 2013-12-25, 2840
textutils, 0.7.0, 2013-10-11, 5813
textutils, 0.6.8, 2013-08-29, 8852
textutils, 0.6.7, 2013-08-19, 4113
textutils, 0.6.6, 2013-06-25, 3814
textutils, 0.6.5, 2013-06-24, 2388
textutils, 0.6.4, 2013-05-20, 5745
textutils, 0.6.3, 2013-05-20, 2386
textutils, 0.6.2, 2013-05-20, 2421
textutils, 0.6.1, 2013-05-20, 2360
textutils, 0.6.0, 2013-05-20, 2367
textutils, 0.5.13, 2013-05-14, 2427
textutils, 0.5.12, 2013-05-09, 2457
textutils, 0.5.11, 2013-05-09, 2395
textutils, 0.5.10, 2013-05-08, 2389
textutils, 0.5.9, 2013-05-05, 2438
textutils, 0.5.8, 2013-05-05, 2397
textutils, 0.5.7, 2013-05-04, 2389
textutils, 0.5.6, 2013-05-04, 2396
textutils, 0.5.5, 2013-04-23, 3243
textutils, 0.5.4, 2013-04-23, 2387
textutils, 0.5.3, 2013-04-23, 2410
textutils, 0.5.2, 2013-03-16, 3335
textutils, 0.5.1, 2013-02-27, 2668
textutils, 0.5.0, 2013-02-24, 2541
textutils, 0.4.0, 2013-02-21, 2488
textutils, 0.3.0, 2013-02-20, 2453
textutils, 0.2.0, 2012-06-09, 80694
textutils, 0.1.0, 2012-06-09, 2630
textutils, 0.0.1, 2012-06-09, 2616
