name, version, created, downloads
tokenizers, 0.2.2, 2023-01-15, 123
tokenizers, 0.2.2, 2023-01-15, 101
tokenizers, 0.2.2, 2023-01-15, 96
tokenizers, 0.2.2, 2023-01-15, 103
tokenizers, 0.2.2, 2023-01-15, 133
tokenizers, 0.2.1, 2023-01-12, 408
tokenizers, 0.2.1, 2023-01-12, 398
tokenizers, 0.2.1, 2023-01-12, 396
tokenizers, 0.2.1, 2023-01-12, 419
tokenizers, 0.2.0, 2022-12-11, 144
tokenizers, 0.2.0, 2022-12-11, 138
tokenizers, 0.2.0, 2022-12-11, 138
tokenizers, 0.2.0, 2022-12-11, 185
tokenizers, 0.1.3, 2022-10-07, 392
tokenizers, 0.1.2, 2022-09-09, 330
tokenizers, 0.1.1, 2022-06-29, 481
tokenizers, 0.1.0, 2022-03-19, 719
