name, version, created, downloads
unibits, 2.11.0, 2022-09-14, 354
unibits, 2.10.0, 2021-09-15, 1426
unibits, 2.9.0, 2020-12-30, 1130
unibits, 2.8.0, 2019-03-05, 1385
unibits, 2.7.0, 2018-06-05, 1390
unibits, 2.6.0, 2017-06-20, 1669
unibits, 2.5.0, 2017-03-31, 1530
unibits, 2.4.0, 2017-03-25, 1491
unibits, 2.3.0, 2017-03-22, 1476
unibits, 2.2.0, 2017-03-21, 1470
unibits, 2.1.1, 2017-03-19, 1481
unibits, 2.1.0, 2017-03-14, 1483
unibits, 2.0.0, 2017-03-13, 1471
unibits, 1.3.0, 2017-03-09, 1475
unibits, 1.2.1, 2017-03-09, 1438
unibits, 1.2.0, 2017-03-08, 1464
unibits, 1.1.0, 2017-03-08, 1436
unibits, 1.0.0, 2017-03-05, 1478
