name, version, created, downloads
unicode-categories, 1.8.0, 2022-09-14, 3626
unicode-categories, 1.7.0, 2021-09-15, 6971
unicode-categories, 1.6.0, 2020-03-11, 9379
unicode-categories, 1.5.0, 2019-05-08, 2628
unicode-categories, 1.4.0, 2019-03-05, 1357
unicode-categories, 1.3.0, 2018-06-05, 1686
unicode-categories, 1.2.2, 2018-04-19, 1355
unicode-categories, 1.2.1, 2018-04-19, 1244
unicode-categories, 1.2.0, 2017-06-20, 4201
unicode-categories, 1.1.2, 2017-03-09, 1777
unicode-categories, 1.1.1, 2017-03-08, 1493
unicode-categories, 1.1.0, 2016-06-22, 1891
unicode-categories, 1.0.0, 2016-04-13, 2270
