name, version, created, downloads
unicode-confusable, 1.9.0, 2022-09-14, 2660
unicode-confusable, 1.8.0, 2021-09-15, 197809
unicode-confusable, 1.7.0, 2020-03-11, 34458
unicode-confusable, 1.6.0, 2019-05-08, 39482
unicode-confusable, 1.5.0, 2019-03-05, 2105
unicode-confusable, 1.4.0, 2018-06-05, 5102
unicode-confusable, 1.3.2, 2018-04-19, 1330
unicode-confusable, 1.3.1, 2018-04-19, 1246
unicode-confusable, 1.3.0, 2017-11-03, 1488
unicode-confusable, 1.2.0, 2017-06-20, 1555
unicode-confusable, 1.1.0, 2016-06-22, 3696
unicode-confusable, 1.0.1, 2016-03-14, 2344
unicode-confusable, 1.0.0, 2016-03-12, 1747
