name, version, created, downloads
unicode-display_width, 2.4.2, 2023-01-04, 1293037
unicode-display_width, 2.4.1, 2023-01-03, 53301
unicode-display_width, 2.4.0, 2023-01-03, 70345
unicode-display_width, 2.3.0, 2022-09-14, 9996671
unicode-display_width, 2.2.0, 2022-06-24, 8922049
unicode-display_width, 2.1.0, 2021-09-15, 30093746
unicode-display_width, 2.0.0, 2020-12-30, 19876240
unicode-display_width, 2.0.0.pre2, 2020-03-11, 1470
unicode-display_width, 2.0.0.pre1, 2020-01-16, 1359
unicode-display_width, 1.8.0, 2021-09-15, 38661721
unicode-display_width, 1.7.0, 2020-03-11, 94019532
unicode-display_width, 1.6.1, 2020-01-16, 25333818
unicode-display_width, 1.6.0, 2019-05-08, 40060603
unicode-display_width, 1.5.0, 2019-03-05, 10350126
unicode-display_width, 1.4.1, 2018-12-21, 15778546
unicode-display_width, 1.4.0, 2018-06-05, 21102960
unicode-display_width, 1.3.3, 2018-05-28, 951555
unicode-display_width, 1.3.2, 2018-04-19, 4764738
unicode-display_width, 1.3.1, 2018-04-19, 8863
unicode-display_width, 1.3.0, 2017-06-20, 20932054
unicode-display_width, 1.2.1, 2017-04-10, 3497455
unicode-display_width, 1.2.0, 2017-04-08, 27562
unicode-display_width, 1.1.3, 2017-01-13, 6002145
unicode-display_width, 1.1.2, 2016-12-09, 1532122
unicode-display_width, 1.1.1, 2016-09-07, 4285319
unicode-display_width, 1.1.0, 2016-06-22, 2074248
unicode-display_width, 1.0.5, 2016-04-30, 1011601
unicode-display_width, 1.0.4, 2016-04-30, 2759
unicode-display_width, 1.0.3, 2016-03-29, 881163
unicode-display_width, 1.0.2, 2016-03-10, 461497
unicode-display_width, 1.0.1, 2016-03-07, 29200
unicode-display_width, 1.0.0, 2016-03-02, 4176
unicode-display_width, 0.3.1, 2016-01-06, 992254
unicode-display_width, 0.3.0, 2015-12-04, 3769
unicode-display_width, 0.2.0, 2015-02-05, 19140
unicode-display_width, 0.1.1, 2011-01-05, 1439440
unicode-display_width, 0.1.0, 2011-01-03, 4088
