name, version, created, downloads
unicode-emoji, 3.3.1, 2022-10-18, 48826
unicode-emoji, 3.3.0, 2022-09-14, 16483
unicode-emoji, 3.2.0, 2022-06-22, 93534
unicode-emoji, 3.1.1, 2022-06-22, 408
unicode-emoji, 3.1.0, 2021-10-27, 233561
unicode-emoji, 3.0.0, 2021-10-06, 7693
unicode-emoji, 2.9.0, 2021-09-15, 39754
unicode-emoji, 2.8.0, 2021-04-07, 190927
unicode-emoji, 2.7.1, 2020-12-24, 159884
unicode-emoji, 2.7.0, 2020-10-28, 16110
unicode-emoji, 2.6.0, 2020-09-21, 20814
unicode-emoji, 2.5.0, 2020-04-23, 275330
unicode-emoji, 2.4.0, 2020-02-01, 319877
unicode-emoji, 2.3.1, 2019-10-22, 137236
unicode-emoji, 2.3.0, 2019-10-22, 1377
unicode-emoji, 2.2.0, 2019-10-06, 8461
unicode-emoji, 2.1.0, 2019-03-11, 872232
unicode-emoji, 2.0.0, 2019-02-19, 52080
unicode-emoji, 1.1.0, 2018-06-05, 177142
unicode-emoji, 1.0.3, 2018-04-19, 12688
unicode-emoji, 1.0.2, 2018-04-19, 1288
unicode-emoji, 1.0.1, 2018-04-06, 2926
unicode-emoji, 1.0.0, 2018-04-01, 4078
unicode-emoji, 0.9.3, 2018-03-01, 16083
unicode-emoji, 0.9.2, 2017-07-20, 19237
unicode-emoji, 0.9.1, 2017-04-10, 6708
unicode-emoji, 0.9.0, 2017-04-08, 1556
