name, version, created, downloads
unicode-name, 1.11.0, 2022-09-14, 712
unicode-name, 1.10.0, 2021-09-15, 2376
unicode-name, 1.9.0, 2020-03-11, 4029
unicode-name, 1.8.0, 2019-05-08, 2214
unicode-name, 1.7.1, 2019-03-05, 1300
unicode-name, 1.7.0, 2019-03-05, 1155
unicode-name, 1.6.0, 2018-06-05, 1495
unicode-name, 1.5.2, 2018-04-19, 1344
unicode-name, 1.5.1, 2018-04-19, 1242
unicode-name, 1.5.0, 2017-06-20, 4320
unicode-name, 1.4.2, 2017-03-25, 1691
unicode-name, 1.4.1, 2017-03-19, 1487
unicode-name, 1.4.0, 2017-02-23, 1500
unicode-name, 1.3.0, 2016-06-22, 1893
unicode-name, 1.2.0, 2016-04-15, 2096
unicode-name, 1.1.0, 2016-04-15, 1570
unicode-name, 1.0.0, 2016-04-13, 1614
