name, version, created, downloads
unicode-numeric_value, 1.9.0, 2022-09-14, 536
unicode-numeric_value, 1.8.0, 2021-09-15, 4530
unicode-numeric_value, 1.7.0, 2020-03-11, 1551
unicode-numeric_value, 1.6.0, 2019-05-08, 2001
unicode-numeric_value, 1.5.0, 2019-03-05, 1250
unicode-numeric_value, 1.4.0, 2018-06-05, 1361
unicode-numeric_value, 1.3.2, 2018-04-19, 1319
unicode-numeric_value, 1.3.1, 2018-04-19, 1234
unicode-numeric_value, 1.3.0, 2017-06-20, 1613
unicode-numeric_value, 1.2.0, 2016-06-22, 1960
unicode-numeric_value, 1.1.0, 2016-04-20, 2219
unicode-numeric_value, 1.0.0, 2016-04-16, 1610
