name, version, created, downloads
unicode-types, 1.8.0, 2022-09-14, 27185
unicode-types, 1.7.0, 2021-09-15, 89064
unicode-types, 1.6.0, 2020-03-11, 33198
unicode-types, 1.5.0, 2019-05-08, 2265
unicode-types, 1.4.0, 2019-03-05, 1332
unicode-types, 1.3.0, 2018-06-05, 1572
unicode-types, 1.2.2, 2018-04-19, 1370
unicode-types, 1.2.1, 2018-04-19, 1242
unicode-types, 1.2.0, 2017-06-20, 4413
unicode-types, 1.1.2, 2017-03-19, 1741
unicode-types, 1.1.1, 2017-03-08, 1494
unicode-types, 1.1.0, 2016-06-22, 1880
unicode-types, 1.0.1, 2016-04-15, 1660
unicode-types, 1.0.0, 2016-04-15, 1581
