name, version, created, downloads
unicode-x, 15.0.0, 2022-09-14, 356
unicode-x, 14.0.1, 2021-10-06, 1375
unicode-x, 14.0.0, 2021-09-15, 1109
unicode-x, 13.0.1, 2020-03-11, 1548
unicode-x, 13.0.0, 2020-03-11, 1196
unicode-x, 12.1.0, 2019-05-08, 2007
unicode-x, 12.0.0, 2019-03-06, 1245
unicode-x, 11.0.0, 2019-03-06, 1153
unicode-x, 1.4.1, 2019-02-21, 1218
unicode-x, 1.4.0, 2017-06-20, 1685
unicode-x, 1.3.0, 2017-04-08, 1516
unicode-x, 1.2.0, 2017-04-02, 1476
unicode-x, 1.1.0, 2016-06-22, 1861
unicode-x, 1.0.3, 2016-04-16, 2092
unicode-x, 1.0.2, 2016-04-13, 1618
unicode-x, 1.0.1, 2016-04-13, 1569
unicode-x, 1.0.0, 2016-04-13, 1578
