name, version, created, downloads
webgen, 1.7.2, 2021-03-07, 2503
webgen, 1.7.1, 2020-07-21, 1789
webgen, 1.7.0, 2019-08-21, 2645
webgen, 1.6.0, 2019-08-13, 1528
webgen, 1.5.2, 2018-10-26, 2037
webgen, 1.5.1, 2018-05-06, 1669
webgen, 1.5.0, 2018-05-06, 1378
webgen, 1.4.1, 2017-08-26, 2262
webgen, 1.4.0, 2015-03-14, 3521
webgen, 1.3.0, 2014-08-15, 3304
webgen, 1.2.1, 2014-02-16, 2853
webgen, 1.2.0, 2013-12-30, 2531
webgen, 1.1.0, 2013-12-09, 2389
webgen, 1.0.0, 2013-09-02, 2886
webgen, 1.0.0.beta3, 2013-01-27, 1990
webgen, 1.0.0.beta2, 2012-12-07, 2184
webgen, 1.0.0.beta1, 2012-11-11, 2045
webgen, 0.5.17, 2012-09-04, 13115
webgen, 0.5.15, 2012-08-29, 2728
webgen, 0.5.14, 2010-08-09, 10583
webgen, 0.5.13, 2010-07-16, 3420
webgen, 0.5.12, 2010-04-14, 4223
webgen, 0.5.11, 2010-02-15, 3936
webgen, 0.5.10, 2009-08-18, 4384
webgen, 0.5.9, 2009-08-05, 3504
webgen, 0.5.8, 2009-07-25, 3524
webgen, 0.5.7, 2009-07-25, 3508
webgen, 0.5.6, 2009-07-25, 3459
webgen, 0.5.5, 2009-07-25, 3470
webgen, 0.5.4, 2009-07-25, 3496
webgen, 0.5.3, 2009-07-25, 3508
webgen, 0.5.2, 2009-07-25, 3488
webgen, 0.5.1, 2009-07-25, 3484
webgen, 0.5.0, 2009-07-25, 3577
webgen, 0.4.7, 2009-07-25, 3471
webgen, 0.4.6, 2009-07-25, 3488
webgen, 0.4.5, 2009-07-25, 3152
webgen, 0.4.4, 2009-07-25, 3146
webgen, 0.4.3, 2009-07-25, 3152
webgen, 0.4.2, 2009-07-25, 3143
webgen, 0.4.1, 2009-07-25, 3150
webgen, 0.4.0, 2009-07-25, 3154
webgen, 0.3.8, 2009-07-25, 3146
webgen, 0.3.7, 2009-07-25, 3139
webgen, 0.3.6, 2009-07-25, 3136
webgen, 0.3.5, 2009-07-25, 3142
webgen, 0.3.4, 2009-07-25, 3154
webgen, 0.3.3, 2009-07-25, 3147
webgen, 0.3.2, 2009-07-25, 3091
webgen, 0.3.1, 2009-07-25, 3088
webgen, 0.3.0, 2009-07-25, 3096
