name, version, created, downloads
wirb, 2.2.2, 2020-12-29, 93792
wirb, 2.2.1, 2019-12-26, 91733
wirb, 2.2.0, 2019-12-04, 8766
wirb, 2.1.2, 2017-12-08, 302169
wirb, 2.1.1, 2017-03-18, 115606
wirb, 2.1.0, 2016-11-08, 49823
wirb, 2.0.0, 2015-03-29, 169164
wirb, 1.0.3, 2014-01-13, 301029
wirb, 1.0.2, 2013-10-08, 28779
wirb, 1.0.1, 2012-12-07, 48346
wirb, 0.5.0, 2012-12-02, 3145
wirb, 0.4.2, 2012-03-18, 24550
wirb, 0.4.1, 2011-07-08, 14956
wirb, 0.4.0, 2011-07-07, 3080
wirb, 0.3.2, 2011-06-15, 4429
wirb, 0.3.1, 2011-05-26, 4362
wirb, 0.3.0, 2011-05-26, 3318
wirb, 0.2.6, 2011-05-18, 3695
wirb, 0.2.5, 2011-05-12, 3185
wirb, 0.2.4, 2011-02-03, 7030
wirb, 0.2.3, 2011-02-03, 3035
wirb, 0.2.2, 2011-01-29, 3239
wirb, 0.2.1, 2011-01-28, 3055
wirb, 0.2.0, 2011-01-27, 3102
