name, version, created, downloads
worlddb-models, 2.4.1, 2020-05-19, 2545
worlddb-models, 2.4.0, 2017-08-31, 2858
worlddb-models, 2.3.6, 2017-08-30, 1370
worlddb-models, 2.3.5, 2017-08-28, 1385
worlddb-models, 2.3.4, 2015-06-20, 3362
worlddb-models, 2.3.3, 2015-06-15, 1917
worlddb-models, 2.3.2, 2015-06-14, 1905
worlddb-models, 2.3.1, 2015-06-10, 1941
worlddb-models, 2.3.0, 2015-06-08, 1934
worlddb-models, 2.2.2, 2015-03-09, 2131
worlddb-models, 2.2.1, 2015-03-06, 1966
worlddb-models, 2.2.0, 2014-12-07, 2123
worlddb-models, 2.1.0, 2014-12-04, 2242
