name, version, created, downloads
worlddb, 2.4.0, 2017-08-31, 2020
worlddb, 2.3.0, 2015-06-08, 2729
worlddb, 2.2.1, 2014-12-06, 2166
worlddb, 2.2.0, 2014-12-06, 2038
worlddb, 2.1.0, 2014-12-05, 2035
worlddb, 2.0.9, 2014-12-03, 2056
worlddb, 2.0.8, 2014-11-19, 2066
worlddb, 2.0.7, 2014-11-17, 2056
worlddb, 2.0.6, 2014-11-16, 2056
worlddb, 2.0.5, 2014-11-09, 2111
worlddb, 2.0.4, 2014-04-15, 3721
worlddb, 2.0.3, 2014-04-04, 2254
worlddb, 2.0.2, 2014-03-31, 2229
worlddb, 2.0.1, 2014-03-29, 2179
worlddb, 2.0.0, 2014-03-22, 2198
worlddb, 1.8.2, 2014-01-18, 2456
worlddb, 1.8.1, 2014-01-17, 2264
worlddb, 1.8.0, 2014-01-17, 2233
worlddb, 1.7.2, 2013-06-22, 2651
worlddb, 1.7.1, 2013-05-20, 2435
worlddb, 1.7.0, 2013-05-20, 2345
worlddb, 1.6.6, 2013-05-12, 2393
worlddb, 1.6.5, 2013-05-12, 2383
worlddb, 1.6.4, 2013-05-09, 2370
worlddb, 1.6.3, 2013-03-17, 2476
worlddb, 1.6.2, 2013-03-16, 2385
worlddb, 1.6.1, 2013-03-11, 2406
worlddb, 1.6.0, 2013-03-06, 2404
worlddb, 1.5.0, 2013-03-04, 2410
worlddb, 1.4.0, 2013-02-26, 2437
worlddb, 1.3.0, 2013-02-24, 2507
worlddb, 1.2.0, 2013-02-22, 2416
worlddb, 1.1.0, 2013-02-21, 2440
worlddb, 1.0.1, 2013-02-20, 2446
worlddb, 1.0.0, 2013-02-20, 2423
worlddb, 0.8.0, 2012-12-09, 2512
worlddb, 0.7.1, 2012-12-08, 2483
worlddb, 0.7.0, 2012-12-05, 2476
worlddb, 0.6.8, 2012-12-02, 2500
worlddb, 0.6.7, 2012-12-02, 2512
worlddb, 0.6.6, 2012-11-30, 2502
worlddb, 0.6.5, 2012-11-29, 2513
worlddb, 0.6.4, 2012-11-26, 2515
worlddb, 0.6.3, 2012-11-26, 2493
worlddb, 0.6.2, 2012-11-25, 2495
worlddb, 0.6.1, 2012-11-24, 2525
worlddb, 0.6.0, 2012-11-24, 2519
worlddb, 0.5.0, 2012-11-21, 2510
worlddb, 0.4.0, 2012-11-20, 2510
worlddb, 0.3.2, 2012-11-16, 2547
worlddb, 0.3.1, 2012-11-16, 2535
worlddb, 0.3.0, 2012-11-11, 2600
worlddb, 0.2.2, 2012-11-08, 2541
worlddb, 0.2.1, 2012-11-07, 2542
worlddb, 0.2.0, 2012-11-06, 2603
worlddb, 0.1.0, 2012-11-05, 2540
worlddb, 0.0.1, 2012-11-05, 2622
