name, version, created, downloads
zucker, 100.2.0, 2016-01-03, 3372
zucker, 100.1.0, 2015-04-01, 2299
zucker, 100.0.0, 2014-04-01, 3382
zucker, 13.1, 2013-04-30, 12137
zucker, 12.1, 2012-01-16, 21419
zucker, 11, 2011-05-26, 12529
zucker, 10, 2011-04-28, 4632
zucker, 9, 2011-01-22, 5139
zucker, 8, 2010-10-06, 5449
zucker, 7, 2010-10-03, 3205
zucker, 6, 2010-10-03, 3160
zucker, 5, 2010-09-03, 3152
zucker, 4, 2010-09-01, 3152
zucker, 3, 2010-08-14, 3143
zucker, 2, 2010-08-07, 3172
zucker, 1, 2010-08-06, 3169
zucker, 0.9, 2010-08-05, 3144
