week, name, version, count, created, downloads
2023/03, chartkick, 5.0.1, 72, 2023-01-19, 595
2023/03, chartkick, 5.0.0, 71, 2023-01-18, 450
2023/03, polars-df, 0.2.1, 12, 2023-01-18, 124
2023/03, polars-df, 0.2.1, 13, 2023-01-18, 99
2023/03, polars-df, 0.2.1, 14, 2023-01-18, 121
2023/03, polars-df, 0.2.1, 15, 2023-01-18, 119
2023/03, polars-df, 0.2.1, 16, 2023-01-18, 133
2023/02, polars-df, 0.2.0, 10, 2023-01-15, 100
2023/02, polars-df, 0.2.0, 11, 2023-01-15, 106
2023/02, polars-df, 0.2.0, 9, 2023-01-15, 102
2023/02, polars-df, 0.2.0, 8, 2023-01-15, 101
2023/02, polars-df, 0.2.0, 7, 2023-01-15, 132
2023/02, tokenizers, 0.2.2, 13, 2023-01-15, 133
2023/02, tokenizers, 0.2.2, 14, 2023-01-15, 103
2023/02, tokenizers, 0.2.2, 15, 2023-01-15, 96
2023/02, tokenizers, 0.2.2, 16, 2023-01-15, 101
2023/02, tokenizers, 0.2.2, 17, 2023-01-15, 123
2023/02, tomoto, 0.3.1, 15, 2023-01-13, 408
2023/02, tomoto, 0.3.1, 13, 2023-01-13, 408
2023/02, tomoto, 0.3.1, 14, 2023-01-13, 390
2023/02, tokenizers, 0.2.1, 9, 2023-01-12, 419
2023/02, tokenizers, 0.2.1, 11, 2023-01-12, 398
2023/02, tokenizers, 0.2.1, 12, 2023-01-12, 408
2023/02, tokenizers, 0.2.1, 10, 2023-01-12, 396
2023/02, reversed, 0.4.2, 8, 2023-01-11, 692
2023/01, pghero, 3.1.0, 75, 2023-01-05, 29509
2023/01, strong_migrations, 1.4.1, 49, 2023-01-05, 69130
2022/52, khiva, 0.2.0, 5, 2022-12-29, 144
2022/52, midas-edge, 0.3.3, 10, 2022-12-29, 141
2022/52, distribute_reads, 0.4.0, 15, 2022-12-28, 2232
2022/52, reversed, 0.4.1, 7, 2022-12-28, 180
2022/52, faiss, 0.2.5, 14, 2022-12-27, 154
2022/52, libffm, 0.2.2, 5, 2022-12-26, 152
2022/51, polars-df, 0.1.5, 6, 2022-12-22, 166
2022/49, tokenizers, 0.2.0, 5, 2022-12-11, 185
2022/49, tokenizers, 0.2.0, 6, 2022-12-11, 138
2022/49, tokenizers, 0.2.0, 8, 2022-12-11, 144
2022/49, tokenizers, 0.2.0, 7, 2022-12-11, 138
2022/49, datasketches, 0.3.0, 12, 2022-12-09, 166
2022/49, highs, 0.1.4, 5, 2022-12-09, 171
2022/49, ngt, 0.4.1, 13, 2022-12-09, 190
2022/49, lockbox, 1.1.1, 39, 2022-12-08, 233208
2022/49, searchkick, 5.1.1, 124, 2022-12-05, 47695
2022/49, vega, 0.3.0, 13, 2022-12-05, 467
2022/48, or-tools, 0.9.0, 33, 2022-12-03, 552
2022/48, polars-df, 0.1.4, 5, 2022-12-02, 163
2022/48, polars-df, 0.1.3, 4, 2022-11-28, 160
2022/47, polars-df, 0.1.2, 3, 2022-11-26, 160
2022/47, polars-df, 0.1.1, 2, 2022-11-24, 163
2022/47, polars-df, 0.1.0, 1, 2022-11-22, 151
2022/45, pgsync, 0.7.3, 40, 2022-11-10, 34115
2022/45, hypershield, 0.3.1, 7, 2022-11-07, 19104
2022/44, rcf, 0.1.1, 2, 2022-11-06, 255
2022/44, datasketches, 0.2.7, 11, 2022-11-05, 230
2022/44, highs, 0.1.3, 4, 2022-11-05, 222
2022/44, or-tools, 0.8.2, 32, 2022-11-05, 480
2022/44, torch-rb, 0.12.0, 48, 2022-11-05, 341
2022/44, rcf, 0.1.0, 1, 2022-11-03, 213
2022/44, xgb, 0.7.1, 17, 2022-11-01, 2728
2022/44, strong_migrations, 1.4.0, 48, 2022-10-31, 804210
2022/43, onnxruntime, 0.7.4, 50, 2022-10-30, 220
2022/43, onnxruntime, 0.7.4, 47, 2022-10-30, 298
2022/43, onnxruntime, 0.7.4, 51, 2022-10-30, 249
2022/43, onnxruntime, 0.7.4, 52, 2022-10-30, 1376
2022/43, onnxruntime, 0.7.4, 49, 2022-10-30, 224
2022/43, onnxruntime, 0.7.4, 48, 2022-10-30, 217
2022/41, pgdexter, 0.4.1, 22, 2022-10-15, 360
2022/41, searchkick, 5.1.0, 123, 2022-10-13, 58287
2022/41, barkick, 0.2.0, 6, 2022-10-10, 22525
2022/41, camo, 0.2.1, 5, 2022-10-10, 351
2022/41, hypershield, 0.3.0, 6, 2022-10-10, 39516
2022/41, ip_anonymizer, 0.2.0, 3, 2022-10-10, 3808
2022/41, lockbox, 1.1.0, 38, 2022-10-10, 83598
2022/41, mainstreet, 0.3.0, 7, 2022-10-10, 384
2022/41, pghero, 3.0.1, 74, 2022-10-10, 105501
2022/41, searchkick, 5.0.5, 122, 2022-10-10, 13158
2022/41, strong_migrations, 1.3.2, 47, 2022-10-10, 192353
2022/40, tokenizers, 0.1.3, 4, 2022-10-07, 392
2022/40, tomoto, 0.3.0, 11, 2022-10-04, 302
2022/40, tomoto, 0.3.0, 10, 2022-10-04, 341
2022/40, tomoto, 0.3.0, 12, 2022-10-04, 302
2022/39, eps, 0.4.1, 16, 2022-09-28, 1760
2022/39, disco, 0.3.2, 16, 2022-09-27, 4009
2022/39, notable, 0.4.1, 14, 2022-09-27, 10172
2022/39, npy, 0.3.0, 5, 2022-09-27, 473
2022/38, torch-rb, 0.11.2, 47, 2022-09-25, 341
2022/38, vega, 0.2.7, 12, 2022-09-22, 1575
2022/38, strong_migrations, 1.3.1, 46, 2022-09-21, 352336
2022/38, pgsync, 0.7.2, 39, 2022-09-19, 29649
2022/37, pghero, 3.0.0, 73, 2022-09-13, 37161
2022/36, tokenizers, 0.1.2, 3, 2022-09-09, 330
2022/36, benchmeth, 0.2.0, 4, 2022-09-06, 482
2022/36, blind_index, 2.3.1, 20, 2022-09-06, 77598
2022/36, informers, 0.2.0, 5, 2022-09-06, 1324
2022/36, logstop, 0.3.0, 11, 2022-09-06, 29643
2022/36, anomaly, 0.3.0, 7, 2022-09-05, 424
2022/36, cacheflow, 0.3.0, 5, 2022-09-05, 69334
2022/36, camo, 0.2.0, 4, 2022-09-05, 323
2022/36, cloak-rb, 0.2.0, 3, 2022-09-05, 370
2022/35, plu, 0.2.0, 5, 2022-09-03, 30065
2022/35, eps, 0.4.0, 15, 2022-09-02, 660
2022/35, gslr, 0.2.0, 5, 2022-09-02, 398
2022/35, vowpalwabbit, 0.2.0, 5, 2022-09-02, 380
2022/35, blazer, 2.6.5, 74, 2022-08-31, 85068
2022/35, strong_migrations, 1.3.0, 45, 2022-08-30, 153257
2022/35, carrot2, 0.4.0, 6, 2022-08-29, 381
2022/35, drill-sergeant, 0.2.0, 6, 2022-08-29, 411
2022/34, or-tools, 0.8.1, 31, 2022-08-22, 1557
2022/33, or-tools, 0.8.0, 30, 2022-08-21, 299
2022/32, libmf, 0.3.0, 12, 2022-08-08, 5697
2022/31, chartkick, 4.2.1, 70, 2022-08-02, 395532
2022/30, pgdexter, 0.4.0, 21, 2022-07-28, 532
2022/29, onnxruntime, 0.7.3, 44, 2022-07-23, 434
2022/29, onnxruntime, 0.7.3, 43, 2022-07-23, 446
2022/29, onnxruntime, 0.7.3, 42, 2022-07-23, 465
2022/29, onnxruntime, 0.7.3, 46, 2022-07-23, 15758
2022/29, onnxruntime, 0.7.3, 45, 2022-07-23, 476
2022/29, onnxruntime, 0.7.3, 41, 2022-07-23, 488
2022/29, or-tools, 0.7.3, 29, 2022-07-23, 623
2022/28, datasketches, 0.2.6, 10, 2022-07-13, 479
2022/28, neighbor, 0.2.2, 6, 2022-07-13, 887
2022/28, prophet-rb, 0.4.2, 14, 2022-07-12, 5309
2022/28, rover-df, 0.3.4, 16, 2022-07-12, 15363
2022/28, cmfrec, 0.2.1, 10, 2022-07-11, 584
2022/28, rover-df, 0.3.3, 15, 2022-07-11, 439
2022/27, disco, 0.3.1, 15, 2022-07-10, 1968
2022/27, prophet-rb, 0.4.1, 13, 2022-07-10, 465
2022/27, rover-df, 0.3.2, 14, 2022-07-10, 471
2022/27, prophet-rb, 0.4.0, 12, 2022-07-07, 413
2022/27, scs, 0.4.0, 8, 2022-07-07, 524
2022/27, cmdstan, 0.2.1, 12, 2022-07-06, 5525
2022/27, pgsync, 0.7.1, 38, 2022-07-06, 21002
2022/27, torch-rb, 0.11.1, 46, 2022-07-06, 487
2022/27, torch-rb, 0.11.0, 45, 2022-07-06, 370
2022/27, torchaudio, 0.3.0, 6, 2022-07-06, 513
2022/27, osqp, 0.2.1, 6, 2022-07-05, 534
2022/26, tokenizers, 0.1.1, 2, 2022-06-29, 481
