week, name, version, count, created, downloads
2022/52, hexapdf, 0.28.0, 71, 2022-12-30, 9481
2022/46, hexapdf, 0.27.0, 70, 2022-11-18, 17976
2022/42, hexapdf, 0.26.2, 69, 2022-10-21, 9504
2022/41, hexapdf, 0.26.1, 68, 2022-10-14, 6478
2022/41, hexapdf, 0.26.0, 67, 2022-10-13, 3175
2022/39, hexapdf, 0.25.0, 66, 2022-10-02, 8783
2022/35, hexapdf, 0.24.2, 65, 2022-08-30, 36210
2022/32, hexapdf, 0.24.1, 64, 2022-08-11, 14151
2022/31, hexapdf-extras, 1.0.0, 1, 2022-08-07, 502
2022/31, hexapdf, 0.24.0, 63, 2022-08-01, 15347
2022/21, hexapdf, 0.23.0, 62, 2022-05-26, 69716
2022/17, kramdown, 2.4.0, 63, 2022-04-25, 9136317
2022/12, hexapdf, 0.22.0, 61, 2022-03-26, 151397
2022/11, kramdown, 2.3.2, 62, 2022-03-18, 5935331
2022/10, hexapdf, 0.21.1, 60, 2022-03-12, 38490
2022/09, hexapdf, 0.21.0, 59, 2022-03-04, 6591
2022/04, hexapdf, 0.20.4, 58, 2022-01-26, 62869
2022/04, hexapdf, 0.20.3, 57, 2022-01-24, 6450
2022/03, hexapdf, 0.20.2, 56, 2022-01-17, 4687
2022/01, hexapdf, 0.20.1, 55, 2022-01-05, 7321
2021/52, hexapdf, 0.20.0, 54, 2021-12-30, 3338
2021/50, hexapdf, 0.19.3, 53, 2021-12-14, 10732
2021/50, hexapdf, 0.19.2, 52, 2021-12-13, 2344
2021/49, hexapdf, 0.19.1, 51, 2021-12-12, 1421
2021/47, hexapdf, 0.19.0, 50, 2021-11-24, 13593
2021/44, hexapdf, 0.18.0, 49, 2021-11-04, 34992
2021/43, hexapdf, 0.17.3, 48, 2021-10-31, 4787
2021/43, hexapdf, 0.17.2, 47, 2021-10-26, 4383
2021/42, hexapdf, 0.17.1, 46, 2021-10-22, 3863
2021/42, hexapdf, 0.17.0, 45, 2021-10-21, 1598
2021/39, hexapdf, 0.16.0, 44, 2021-09-28, 19539
2021/35, hexapdf, 0.15.9, 43, 2021-09-04, 35704
2021/33, hexapdf, 0.15.8, 42, 2021-08-16, 9376
2021/28, hexapdf, 0.15.7, 41, 2021-07-17, 10690
2021/28, hexapdf, 0.15.6, 40, 2021-07-16, 1333
2021/27, hexapdf, 0.15.5, 39, 2021-07-06, 13788
2021/21, hexapdf, 0.15.4, 38, 2021-05-27, 13562
2021/17, hexapdf, 0.15.3, 37, 2021-05-01, 24243
2021/17, hexapdf, 0.15.2, 36, 2021-05-01, 1457
2021/15, hexapdf, 0.15.1, 35, 2021-04-15, 8576
2021/15, hexapdf, 0.15.0, 34, 2021-04-12, 4912
2021/11, kramdown, 2.3.1, 61, 2021-03-17, 29369685
2021/09, webgen, 1.7.2, 51, 2021-03-07, 2503
2021/08, hexapdf, 0.14.4, 33, 2021-02-27, 17864
2021/07, hexapdf, 0.14.3, 32, 2021-02-16, 19431
2021/03, hexapdf, 0.14.2, 31, 2021-01-22, 14464
2021/03, hexapdf, 0.14.1, 30, 2021-01-21, 1794
2021/02, kramdown-converter-pdf, 1.0.5, 5, 2021-01-14, 52732
2020/53, hexapdf, 0.14.0, 29, 2020-12-30, 6919
2020/50, cmdparse, 3.0.7, 21, 2020-12-08, 1763481
2020/46, hexapdf, 0.13.0, 28, 2020-11-14, 19003
2020/34, hexapdf, 0.12.3, 27, 2020-08-22, 50229
2020/34, hexapdf, 0.12.2, 26, 2020-08-17, 2786
2020/33, hexapdf, 0.12.1, 25, 2020-08-16, 1465
2020/33, hexapdf, 0.12.0, 24, 2020-08-12, 2533
2020/30, webgen, 1.7.1, 50, 2020-07-21, 1789
2020/26, kramdown, 2.3.0, 60, 2020-06-28, 13054291
2020/25, hexapdf, 0.11.9, 23, 2020-06-15, 66626
2020/24, hexapdf, 0.11.8, 22, 2020-06-11, 2772
2020/24, hexapdf, 0.11.7, 21, 2020-06-09, 1663
2020/22, hexapdf, 0.11.6, 20, 2020-05-27, 39072
2020/18, cmdparse, 3.0.6, 20, 2020-05-02, 236812
2020/17, kramdown, 2.2.1, 59, 2020-04-23, 1868548
2020/17, kramdown, 2.2.0, 58, 2020-04-22, 22957
2020/16, kramdown-converter-pdf, 1.0.4, 4, 2020-04-15, 53731
2020/05, cmdparse, 3.0.5, 19, 2020-01-31, 281454
2020/05, hexapdf, 0.11.5, 19, 2020-01-27, 117761
2020/05, hexapdf-cext, 1.0.0, 1, 2020-01-27, 3164
2019/52, hexapdf, 0.11.4, 18, 2019-12-28, 11051
2019/48, geom2d, 0.3.1, 3, 2019-11-27, 959148
2019/48, hexapdf, 0.11.3, 17, 2019-11-27, 3737
2019/47, hexapdf, 0.11.2, 16, 2019-11-22, 2108
2019/47, hexapdf, 0.11.1, 15, 2019-11-19, 8308
2019/47, hexapdf, 0.11.0, 14, 2019-11-19, 11681
