week, name, version, count, created, downloads
2023/01, unicode-display_width, 2.4.2, 37, 2023-01-04, 1293037
2023/01, unicode-display_width, 2.4.1, 36, 2023-01-03, 53301
2023/01, unicode-display_width, 2.4.0, 35, 2023-01-03, 70345
2023/01, irbtools, 4.0.3, 58, 2023-01-02, 276
2023/01, irbtools, 4.0.2, 57, 2023-01-02, 91
2022/52, code, 0.9.4, 5, 2022-12-29, 741
2022/52, irbtools, 4.0.1, 56, 2022-12-29, 372
2022/52, irbtools, 4.0.0, 55, 2022-12-29, 105
2022/52, irbtools-more, 3.0.0, 23, 2022-12-29, 216
2022/52, every_day_irb, 2.2.0, 28, 2022-12-27, 790
2022/52, core_docs, 0.9.9, 10, 2022-12-26, 712
2022/51, debugging, 2.1.0, 8, 2022-12-25, 605
2022/51, unicode-version, 1.3.0, 4, 2022-12-25, 7138
2022/42, unicode-emoji, 3.3.1, 27, 2022-10-18, 48826
2022/37, unicode-sequence_name, 1.12.0, 16, 2022-09-16, 399
2022/37, characteristics, 1.5.0, 17, 2022-09-14, 427
2022/37, symbolify, 1.4.1, 7, 2022-09-14, 408
2022/37, unibits, 2.11.0, 18, 2022-09-14, 354
2022/37, unicode-blocks, 1.8.0, 11, 2022-09-14, 2747
2022/37, unicode-categories, 1.8.0, 13, 2022-09-14, 3626
2022/37, unicode-confusable, 1.9.0, 13, 2022-09-14, 2660
2022/37, unicode-display_width, 2.3.0, 34, 2022-09-14, 9996671
2022/37, unicode-emoji, 3.3.0, 26, 2022-09-14, 16483
2022/37, unicode-name, 1.11.0, 17, 2022-09-14, 712
2022/37, unicode-numeric_value, 1.9.0, 12, 2022-09-14, 536
2022/37, unicode-scripts, 1.8.0, 10, 2022-09-14, 4022
2022/37, unicode-sequence_name, 1.11.0, 15, 2022-09-14, 277
2022/37, unicode-types, 1.8.0, 14, 2022-09-14, 27185
2022/37, unicode-x, 15.0.0, 17, 2022-09-14, 356
2022/37, uniscribe, 1.8.0, 10, 2022-09-14, 379
2022/27, paint, 2.3.0, 20, 2022-07-05, 874194
2022/25, unicode-display_width, 2.2.0, 33, 2022-06-24, 8922049
2022/25, unicode-emoji, 3.2.0, 25, 2022-06-22, 93534
2022/25, unicode-emoji, 3.1.1, 24, 2022-06-22, 408
2022/04, characteristics, 1.4.1, 16, 2022-01-28, 1003
2022/04, nem, 1.0.1, 2, 2022-01-27, 989
2022/01, core_docs, 0.9.8, 9, 2022-01-09, 3504
2022/52, microevent, 1.1.1, 5, 2022-01-01, 1111
2022/52, micrologger, 0.1.3, 4, 2022-01-01, 1086
2021/52, debugging, 2.0.0, 7, 2021-12-30, 1301
2021/52, core_docs, 0.9.7, 8, 2021-12-29, 868
2021/52, microgem, 1.1.1, 26, 2021-12-28, 1156
2021/52, unicode-age, 2.3.0, 9, 2021-12-28, 1119
2021/51, unicode-version, 1.2.0, 3, 2021-12-26, 345123
2021/46, multi_block, 1.2, 3, 2021-11-18, 1251
2021/46, named_proc, 1.2, 3, 2021-11-18, 1263
2021/43, unicode-emoji, 3.1.0, 23, 2021-10-27, 233561
2021/42, local_port, 1.0.0, 2, 2021-10-21, 1345
2021/40, unicode-emoji, 3.0.0, 22, 2021-10-06, 7693
2021/40, unicode-x, 14.0.1, 16, 2021-10-06, 1375
2021/37, characteristics, 1.4.0, 15, 2021-09-15, 1397
2021/37, unibits, 2.10.0, 17, 2021-09-15, 1426
2021/37, unicode-blocks, 1.7.0, 10, 2021-09-15, 9939
2021/37, unicode-categories, 1.7.0, 12, 2021-09-15, 6971
2021/37, unicode-confusable, 1.8.0, 12, 2021-09-15, 197809
2021/37, unicode-display_width, 2.1.0, 32, 2021-09-15, 30093746
2021/37, unicode-display_width, 1.8.0, 28, 2021-09-15, 38661721
2021/37, unicode-emoji, 2.9.0, 21, 2021-09-15, 39754
2021/37, unicode-name, 1.10.0, 16, 2021-09-15, 2376
2021/37, unicode-numeric_value, 1.8.0, 11, 2021-09-15, 4530
2021/37, unicode-scripts, 1.7.0, 9, 2021-09-15, 192148
2021/37, unicode-sequence_name, 1.10.0, 14, 2021-09-15, 1665
2021/37, unicode-types, 1.7.0, 13, 2021-09-15, 89064
2021/37, unicode-x, 14.0.0, 15, 2021-09-15, 1109
2021/37, uniscribe, 1.7.0, 9, 2021-09-15, 1483
2021/29, clipboard, 1.3.6, 36, 2021-07-25, 3722637
2021/22, whirly, 0.3.0, 10, 2021-06-04, 27089
