week, name, version, count, created, downloads
2022/37, mormor, 0.0.2, 2, 2022-09-18, 343
2022/20, saharspec, 0.0.9, 9, 2022-05-17, 22081
2021/44, the_schema_is, 0.0.5, 5, 2021-11-04, 3483
2021/33, the_schema_is, 0.0.4, 4, 2021-08-16, 1264
2021/21, infoboxer, 0.4.0, 20, 2021-05-30, 2251
2021/17, wheretz, 0.0.6, 5, 2021-05-02, 780770
2021/07, geo_coord, 0.2.0, 3, 2021-02-15, 44787
2020/49, whatthegem, 0.0.4, 4, 2020-12-05, 1347
2020/49, yard-junk, 0.0.9, 9, 2020-12-05, 243799
2020/46, yard-junk, 0.0.8, 8, 2020-11-12, 10293
2020/41, saharspec, 0.0.8, 8, 2020-10-10, 48578
2020/41, whatthegem, 0.0.3, 3, 2020-10-10, 1091
2020/24, delegates, 0.0.1, 1, 2020-06-09, 1552
2020/24, wheretz, 0.0.5, 4, 2020-06-08, 74057
2020/22, daru, 0.3, 22, 2020-05-30, 295460
2020/20, the_schema_is, 0.0.3, 3, 2020-05-12, 3369
2020/17, the_schema_is, 0.0.2, 2, 2020-04-22, 1234
2020/17, the_schema_is, 0.0.1, 1, 2020-04-22, 1153
2020/15, saharspec, 0.0.7, 7, 2020-04-11, 4640
2020/15, time_calc, 0.0.4, 4, 2020-04-11, 12173
2020/06, infoboxer, 0.3.3, 19, 2020-02-09, 7092
2020/03, fstrings, 0.0.2, 2, 2020-01-19, 1832
2020/02, fstrings, 0.0.1, 1, 2020-01-07, 1412
2019/50, time_calc, 0.0.3, 3, 2019-12-14, 1714
2019/40, saharspec, 0.0.6, 6, 2019-10-05, 13852
2019/32, daru, 0.2.2, 21, 2019-08-11, 118693
2019/28, time_calc, 0.0.2, 2, 2019-07-08, 1759
2019/27, time_calc, 0.0.1, 1, 2019-07-06, 1532
2019/26, wheretz, 0.0.3, 3, 2019-06-28, 38564
2019/25, mormor, 0.0.1, 1, 2019-06-21, 2226
2019/23, hm, 0.0.4, 4, 2019-06-09, 58502
2019/15, whatthegem, 0.0.2, 2, 2019-04-13, 1436
2019/15, whatthegem, 0.0.1, 1, 2019-04-13, 1157
2019/11, time_math2, 0.1.1, 8, 2019-03-15, 7806
2018/51, tlaw, 0.1.0.pre, 3, 2018-12-21, 1307
2018/27, daru, 0.2.1, 20, 2018-07-02, 57284
2018/26, sho, 0.0.2, 2, 2018-06-27, 7422
2018/23, sho, 0.0.1, 1, 2018-06-10, 1292
2018/21, enumerator_generate, 0.0.1, 1, 2018-05-21, 3544
2018/20, object_enumerate, 0.0.1, 1, 2018-05-18, 1707
2018/10, hm, 0.0.3, 3, 2018-03-08, 12331
2018/09, saharspec, 0.0.5, 5, 2018-03-02, 8443
2018/08, hm, 0.0.2, 2, 2018-02-24, 1416
2018/07, hm, 0.0.1, 1, 2018-02-17, 5139
2018/06, reality, 0.1.0.alpha3, 8, 2018-02-10, 1266
2018/06, reality, 0.1.0.alpha2, 7, 2018-02-10, 1240
2018/06, infoboxer, 0.3.2, 18, 2018-02-09, 2316
2018/06, reality, 0.1.0.alpha, 6, 2018-02-09, 1249
2018/06, mediawiktory, 0.1.3, 7, 2018-02-08, 9413
2018/05, geo_coord, 0.1.0, 2, 2018-02-03, 103591
2018/05, any_good, 0.0.5, 5, 2018-01-29, 2407
2018/05, any_good, 0.0.4, 4, 2018-01-29, 1660
2018/04, tz_offset, 0.0.4, 4, 2018-01-27, 1919
2018/04, any_good, 0.0.3, 3, 2018-01-23, 1779
2018/03, any_good, 0.0.2, 2, 2018-01-19, 1738
2018/03, any_good, 0.0.1, 1, 2018-01-19, 1650
2017/49, infoboxer, 0.3.1, 17, 2017-12-04, 1605
2017/49, whatis, 0.0.1, 1, 2017-12-04, 1847
2017/45, mediawiktory, 0.1.2, 6, 2017-11-08, 2104
2017/45, saharspec, 0.0.4, 4, 2017-11-07, 3360
2017/45, saharspec, 0.0.3, 3, 2017-11-06, 1418
2017/44, daru, 0.2.0, 19, 2017-11-01, 52530
2017/42, idempotent_enumerable, 0.0.1, 1, 2017-10-16, 1931
2017/39, reality, 0.0.5, 5, 2017-09-29, 2395
2017/38, yard-junk, 0.0.7, 7, 2017-09-21, 448841
2017/38, yard-junk, 0.0.6, 6, 2017-09-20, 1367
2017/37, infoboxer, 0.3.1.pre, 16, 2017-09-16, 1363
2017/37, infoboxer, 0.3.0.pre, 14, 2017-09-16, 1357
2017/37, did_you, 0.0.1, 1, 2017-09-11, 6032
2017/37, yard-junk, 0.0.5, 5, 2017-09-11, 15750
2017/36, yard-junk, 0.0.4, 4, 2017-09-09, 2474
2017/36, yard-junk, 0.0.3, 3, 2017-09-07, 1388
2017/35, yard-junk, 0.0.2, 2, 2017-09-03, 1402
2017/35, saharspec, 0.0.2, 2, 2017-09-01, 1652
2017/34, yard-junk, 0.0.1, 1, 2017-08-27, 1454
2017/33, saharspec, 0.0.1, 1, 2017-08-14, 1452
2017/32, daru, 0.1.6, 18, 2017-08-09, 291100
2017/31, tlaw, 0.0.2, 2, 2017-07-31, 2284
2017/30, time_math2, 0.1.0, 7, 2017-07-30, 11640
2017/29, infoboxer, 0.3.0, 15, 2017-07-23, 1795
2017/26, time_math2, 0.0.8, 6, 2017-07-02, 2462
2017/22, time_math2, 0.0.7, 5, 2017-05-30, 1622
2017/19, infoboxer, 0.2.8, 13, 2017-05-11, 1808
2017/19, mediawiktory, 0.1.1, 5, 2017-05-11, 2577
2017/19, mediawiktory, 0.1.0, 4, 2017-05-10, 1945
2017/11, mediawiktory, 0.0.3, 3, 2017-03-18, 2052
2017/06, magic_cloud, 0.0.4, 3, 2017-02-08, 30981
2017/05, daru, 0.1.5, 17, 2017-01-31, 30383
2017/02, tz_offset, 0.0.3, 3, 2017-01-13, 1734
2016/50, time_math2, 0.0.6, 4, 2016-12-14, 3020
2016/43, tz_offset, 0.0.2, 2, 2016-10-26, 1570
2016/43, tz_offset, 0.0.1, 1, 2016-10-25, 1510
2016/38, tlaw, 0.0.1, 1, 2016-09-19, 1794
2016/37, infoboxer, 0.2.7, 12, 2016-09-18, 2399
2016/33, daru, 0.1.4.1, 16, 2016-08-19, 23603
2016/33, daru, 0.1.4, 15, 2016-08-19, 1909
2016/26, infoboxer, 0.2.6, 11, 2016-06-27, 2492
2016/26, infoboxer, 0.2.5, 10, 2016-06-27, 1616
2016/25, time_math2, 0.0.5, 3, 2016-06-25, 6042
2016/23, geo_coord, 0.0.1, 1, 2016-06-06, 7490
2016/21, time_math2, 0.0.4, 2, 2016-05-28, 2665
2016/21, time_math2, 0.0.3, 1, 2016-05-28, 2591
2016/21, time_boots, 0.0.2, 2, 2016-05-27, 3765
2016/19, daru, 0.1.3.1, 14, 2016-05-12, 7857
2016/19, daru, 0.1.3, 13, 2016-05-10, 2012
2016/16, reality, 0.0.4, 4, 2016-04-18, 3160
2016/15, infoboxer, 0.2.4, 9, 2016-04-16, 2017
2016/09, wheretz, 0.0.2, 2, 2016-03-04, 13165
2016/09, infoboxer, 0.2.3, 8, 2016-03-02, 2602
2016/09, reality, 0.0.3, 3, 2016-03-02, 2120
2016/07, daru, 0.1.2, 12, 2016-02-17, 7319
2016/04, wheretz, 0.0.1, 1, 2016-01-28, 1897
2016/03, worldize, 0.0.1, 1, 2016-01-21, 5115
2016/53, reality, 0.0.2, 2, 2016-01-03, 1832
2016/53, infoboxer, 0.2.2, 7, 2016-01-02, 1960
2016/53, reality, 0.0.1, 1, 2016-01-02, 1721
2015/52, infoboxer, 0.2.1, 6, 2015-12-21, 1854
2015/52, infoboxer, 0.2.0, 5, 2015-12-21, 1803
2015/51, mediawiktory, 0.0.2, 2, 2015-12-19, 4028
2015/49, linkhum, 0.0.3, 3, 2015-12-06, 3385
